"Class","Approach","Details","Stringency","Indicator type","Indicator","Threshold","Flag"
"Wadeable streams","Response","Additive model, 50% probability of attaining ASCI_H score above 0.86.","Intermediate","Eutrophication","TN",0.453,""
"Wadeable streams","Response","Additive model, 50% probability of attaining ASCI_H score above 0.75.","Low","Eutrophication","TN",1.114,""
"Wadeable streams","Response","Additive model, 50% probability of attaining CSCI score above 0.92.","High","Eutrophication","TN",0.165,""
"Wadeable streams","Response","Additive model, 50% probability of attaining CSCI score above 0.79.","Intermediate","Eutrophication","TN",1.021,""
"Wadeable streams","Response","Additive model, 50% probability of attaining CSCI score above 0.63.","Low","Eutrophication","TN",2.601,""
"RFI-N","Response","Additive model, 50% probability of attaining ASCI_D score above 0.98.","High","Eutrophication","TN",NA,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"RFI-N","Response","Additive model, 50% probability of attaining ASCI_D score above 0.9.","Intermediate","Eutrophication","TN",0.147,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"RFI-N","Response","Additive model, 50% probability of attaining ASCI_D score above 0.78.","Low","Eutrophication","TN",0.802,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"RFI-N","Response","Additive model, 50% probability of attaining ASCI_H score above 0.96.","High","Eutrophication","TN",NA,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"RFI-N","Response","Additive model, 50% probability of attaining ASCI_H score above 0.9.","Intermediate","Eutrophication","TN",0.246,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"RFI-N","Response","Additive model, 50% probability of attaining ASCI_H score above 0.81.","Low","Eutrophication","TN",0.736,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"RFI-N","Response","Additive model, 50% probability of attaining CSCI score above 0.73.","High","Eutrophication","TN",1.514,""
"RFI-N","Response","Additive model, 50% probability of attaining CSCI score above 0.61.","Intermediate","Eutrophication","TN",2.895,""
"RFI-N","Response","Additive model, 50% probability of attaining CSCI score above 0.44.","Low","Eutrophication","TN",NA,"No threshold identified"
"RFI-S","Response","Additive model, 50% probability of attaining ASCI_D score above 0.91.","High","Eutrophication","TN",0.099,""
"RFI-S","Response","Additive model, 50% probability of attaining ASCI_D score above 0.8.","Intermediate","Eutrophication","TN",0.682,""
"RFI-S","Response","Additive model, 50% probability of attaining ASCI_D score above 0.66.","Low","Eutrophication","TN",1.658,""
"RFI-S","Response","Additive model, 50% probability of attaining ASCI_H score above 0.91.","High","Eutrophication","TN",0.198,""
"RFI-S","Response","Additive model, 50% probability of attaining ASCI_H score above 0.8.","Intermediate","Eutrophication","TN",0.796,""
"RFI-S","Response","Additive model, 50% probability of attaining ASCI_H score above 0.65.","Low","Eutrophication","TN",1.895,""
"RFI-S","Response","Additive model, 50% probability of attaining CSCI score above 0.89.","High","Eutrophication","TN",0.345,""
"RFI-S","Response","Additive model, 50% probability of attaining CSCI score above 0.82.","Intermediate","Eutrophication","TN",0.802,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"RFI-S","Response","Additive model, 50% probability of attaining CSCI score above 0.71.","Low","Eutrophication","TN",1.697,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"CVF","Response","Additive model, 50% probability of attaining ASCI_D score above 1.13.","High","Eutrophication","TN",NA,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"CVF","Response","Additive model, 50% probability of attaining ASCI_D score above 1.02.","Intermediate","Eutrophication","TN",NA,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"CVF","Response","Additive model, 50% probability of attaining ASCI_D score above 0.92.","Low","Eutrophication","TN",0.051,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"CVF","Response","Additive model, 50% probability of attaining ASCI_H score above 1.05.","High","Eutrophication","TN",NA,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"CVF","Response","Additive model, 50% probability of attaining ASCI_H score above 0.94.","Intermediate","Eutrophication","TN",0.054,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"CVF","Response","Additive model, 50% probability of attaining ASCI_H score above 0.8.","Low","Eutrophication","TN",0.796,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"CVF","Response","Additive model, 50% probability of attaining CSCI score above 0.85.","High","Eutrophication","TN",0.598,""
"CVF","Response","Additive model, 50% probability of attaining CSCI score above 0.67.","Intermediate","Eutrophication","TN",2.108,""
"CVF","Response","Additive model, 50% probability of attaining CSCI score above 0.52.","Low","Eutrophication","TN",NA,"No threshold identified"
"HB","Response","Additive model, 50% probability of attaining ASCI_D score above 1.05.","High","Eutrophication","TN",NA,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"HB","Response","Additive model, 50% probability of attaining ASCI_D score above 0.88.","Intermediate","Eutrophication","TN",0.246,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"HB","Response","Additive model, 50% probability of attaining ASCI_D score above 0.74.","Low","Eutrophication","TN",1.057,""
"HB","Response","Additive model, 50% probability of attaining ASCI_H score above 1.02.","High","Eutrophication","TN",NA,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"HB","Response","Additive model, 50% probability of attaining ASCI_H score above 0.87.","Intermediate","Eutrophication","TN",0.402,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"HB","Response","Additive model, 50% probability of attaining ASCI_H score above 0.74.","Low","Eutrophication","TN",1.18,""
"HB","Response","Additive model, 50% probability of attaining CSCI score above 0.74.","High","Eutrophication","TN",1.423,""
"HB","Response","Additive model, 50% probability of attaining CSCI score above 0.67.","Intermediate","Eutrophication","TN",2.108,""
"HB","Response","Additive model, 50% probability of attaining CSCI score above 0.55.","Low","Eutrophication","TN",NA,"No threshold identified"
"SB2","Response","Additive model, 50% probability of attaining ASCI_D score above 0.93.","High","Eutrophication","TN",0.003,""
"SB2","Response","Additive model, 50% probability of attaining ASCI_D score above 0.77.","Intermediate","Eutrophication","TN",0.862,""
"SB2","Response","Additive model, 50% probability of attaining ASCI_D score above 0.64.","Low","Eutrophication","TN",1.835,""
"SB2","Response","Additive model, 50% probability of attaining ASCI_H score above 0.88.","High","Eutrophication","TN",0.348,""
"SB2","Response","Additive model, 50% probability of attaining ASCI_H score above 0.76.","Intermediate","Eutrophication","TN",1.045,""
"SB2","Response","Additive model, 50% probability of attaining ASCI_H score above 0.6.","Low","Eutrophication","TN",2.411,""
"SB2","Response","Additive model, 50% probability of attaining CSCI score above 0.96.","High","Eutrophication","TN",NA,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"SB2","Response","Additive model, 50% probability of attaining CSCI score above 0.75.","Intermediate","Eutrophication","TN",1.339,""
"SB2","Response","Additive model, 50% probability of attaining CSCI score above 0.64.","Low","Eutrophication","TN",2.468,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"SB1","Response","Additive model, 50% probability of attaining ASCI_D score above 1.01.","High","Eutrophication","TN",NA,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"SB1","Response","Additive model, 50% probability of attaining ASCI_D score above 0.85.","Intermediate","Eutrophication","TN",0.402,""
"SB1","Response","Additive model, 50% probability of attaining ASCI_D score above 0.68.","Low","Eutrophication","TN",1.492,""
"SB1","Response","Additive model, 50% probability of attaining ASCI_H score above 0.97.","High","Eutrophication","TN",NA,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"SB1","Response","Additive model, 50% probability of attaining ASCI_H score above 0.86.","Intermediate","Eutrophication","TN",0.453,""
"SB1","Response","Additive model, 50% probability of attaining ASCI_H score above 0.67.","Low","Eutrophication","TN",1.718,""
"SB1","Response","Additive model, 50% probability of attaining CSCI score above 1.1.","High","Eutrophication","TN",NA,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"SB1","Response","Additive model, 50% probability of attaining CSCI score above 1.","Intermediate","Eutrophication","TN",NA,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"SB1","Response","Additive model, 50% probability of attaining CSCI score above 0.81.","Low","Eutrophication","TN",0.874,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"SB0","Response","Additive model, 50% probability of attaining ASCI_D score above 1.01.","High","Eutrophication","TN",NA,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"SB0","Response","Additive model, 50% probability of attaining ASCI_D score above 0.77.","Intermediate","Eutrophication","TN",0.862,""
"SB0","Response","Additive model, 50% probability of attaining ASCI_D score above 0.68.","Low","Eutrophication","TN",1.492,""
"SB0","Response","Additive model, 50% probability of attaining ASCI_H score above 0.94.","High","Eutrophication","TN",0.054,""
"SB0","Response","Additive model, 50% probability of attaining ASCI_H score above 0.79.","Intermediate","Eutrophication","TN",0.856,""
"SB0","Response","Additive model, 50% probability of attaining ASCI_H score above 0.64.","Low","Eutrophication","TN",1.991,""
"SB0","Response","Additive model, 50% probability of attaining CSCI score above 0.99.","High","Eutrophication","TN",NA,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"SB0","Response","Additive model, 50% probability of attaining CSCI score above 0.78.","Intermediate","Eutrophication","TN",1.099,""
"SB0","Response","Additive model, 50% probability of attaining CSCI score above 0.66.","Low","Eutrophication","TN",2.222,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"CC","Response","Additive model, 50% probability of attaining ASCI_D score above NA.","High","Eutrophication","TN",NA,"Insufficient data"
"CC","Response","Additive model, 50% probability of attaining ASCI_D score above NA.","Intermediate","Eutrophication","TN",NA,"Insufficient data"
"CC","Response","Additive model, 50% probability of attaining ASCI_D score above NA.","Low","Eutrophication","TN",NA,"Insufficient data"
"CC","Response","Additive model, 50% probability of attaining ASCI_H score above NA.","High","Eutrophication","TN",NA,"Insufficient data"
"CC","Response","Additive model, 50% probability of attaining ASCI_H score above NA.","Intermediate","Eutrophication","TN",NA,"Insufficient data"
"CC","Response","Additive model, 50% probability of attaining ASCI_H score above NA.","Low","Eutrophication","TN",NA,"Insufficient data"
"CC","Response","Additive model, 50% probability of attaining CSCI score above 0.53.","High","Eutrophication","TN",NA,"No threshold identified"
"CC","Response","Additive model, 50% probability of attaining CSCI score above 0.45.","Intermediate","Eutrophication","TN",NA,"No threshold identified"
"CC","Response","Additive model, 50% probability of attaining CSCI score above 0.37.","Low","Eutrophication","TN",NA,"No threshold identified"
"Wadeable streams","Response","Additive model, 50% probability of attaining ASCI_D score above 0.94.","High","Eutrophication","TP",NA,"No threshold identified"
"Wadeable streams","Response","Additive model, 50% probability of attaining ASCI_D score above 0.86.","Intermediate","Eutrophication","TP",0.044,""
"Wadeable streams","Response","Additive model, 50% probability of attaining ASCI_D score above 0.75.","Low","Eutrophication","TP",0.122,""
"Wadeable streams","Response","Additive model, 50% probability of attaining ASCI_H score above 0.94.","High","Eutrophication","TP",0.009,""
"Wadeable streams","Response","Additive model, 50% probability of attaining ASCI_H score above 0.86.","Intermediate","Eutrophication","TP",0.056,""
"Wadeable streams","Response","Additive model, 50% probability of attaining ASCI_H score above 0.75.","Low","Eutrophication","TP",0.135,""
"Wadeable streams","Response","Additive model, 50% probability of attaining CSCI score above 0.92.","High","Eutrophication","TP",0.026,""
"Wadeable streams","Response","Additive model, 50% probability of attaining CSCI score above 0.79.","Intermediate","Eutrophication","TP",0.102,""
"Wadeable streams","Response","Additive model, 50% probability of attaining CSCI score above 0.63.","Low","Eutrophication","TP",0.249,""
"RFI-N","Response","Additive model, 50% probability of attaining ASCI_D score above 0.98.","High","Eutrophication","TP",NA,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"RFI-N","Response","Additive model, 50% probability of attaining ASCI_D score above 0.9.","Intermediate","Eutrophication","TP",0.02,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"RFI-N","Response","Additive model, 50% probability of attaining ASCI_D score above 0.78.","Low","Eutrophication","TP",0.099,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"RFI-N","Response","Additive model, 50% probability of attaining ASCI_H score above 0.96.","High","Eutrophication","TP",NA,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"RFI-N","Response","Additive model, 50% probability of attaining ASCI_H score above 0.9.","Intermediate","Eutrophication","TP",0.032,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"RFI-N","Response","Additive model, 50% probability of attaining ASCI_H score above 0.81.","Low","Eutrophication","TP",0.09,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"RFI-N","Response","Additive model, 50% probability of attaining CSCI score above 0.73.","High","Eutrophication","TP",0.147,""
"RFI-N","Response","Additive model, 50% probability of attaining CSCI score above 0.61.","Intermediate","Eutrophication","TP",0.276,""
"RFI-N","Response","Additive model, 50% probability of attaining CSCI score above 0.44.","Low","Eutrophication","TP",NA,"No threshold identified"
"RFI-S","Response","Additive model, 50% probability of attaining ASCI_D score above 0.91.","High","Eutrophication","TP",0.015,""
"RFI-S","Response","Additive model, 50% probability of attaining ASCI_D score above 0.8.","Intermediate","Eutrophication","TP",0.084,""
"RFI-S","Response","Additive model, 50% probability of attaining ASCI_D score above 0.66.","Low","Eutrophication","TP",0.21,""
"RFI-S","Response","Additive model, 50% probability of attaining ASCI_H score above 0.91.","High","Eutrophication","TP",0.026,""
"RFI-S","Response","Additive model, 50% probability of attaining ASCI_H score above 0.8.","Intermediate","Eutrophication","TP",0.096,""
"RFI-S","Response","Additive model, 50% probability of attaining ASCI_H score above 0.65.","Low","Eutrophication","TP",0.24,""
"RFI-S","Response","Additive model, 50% probability of attaining CSCI score above 0.89.","High","Eutrophication","TP",0.041,""
"RFI-S","Response","Additive model, 50% probability of attaining CSCI score above 0.82.","Intermediate","Eutrophication","TP",0.083,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"RFI-S","Response","Additive model, 50% probability of attaining CSCI score above 0.71.","Low","Eutrophication","TP",0.165,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"CVF","Response","Additive model, 50% probability of attaining ASCI_D score above 1.13.","High","Eutrophication","TP",NA,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"CVF","Response","Additive model, 50% probability of attaining ASCI_D score above 1.02.","Intermediate","Eutrophication","TP",NA,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"CVF","Response","Additive model, 50% probability of attaining ASCI_D score above 0.92.","Low","Eutrophication","TP",0.009,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"CVF","Response","Additive model, 50% probability of attaining ASCI_H score above 1.05.","High","Eutrophication","TP",NA,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"CVF","Response","Additive model, 50% probability of attaining ASCI_H score above 0.94.","Intermediate","Eutrophication","TP",0.009,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"CVF","Response","Additive model, 50% probability of attaining ASCI_H score above 0.8.","Low","Eutrophication","TP",0.096,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"CVF","Response","Additive model, 50% probability of attaining CSCI score above 0.85.","High","Eutrophication","TP",0.065,""
"CVF","Response","Additive model, 50% probability of attaining CSCI score above 0.67.","Intermediate","Eutrophication","TP",0.203,""
"CVF","Response","Additive model, 50% probability of attaining CSCI score above 0.52.","Low","Eutrophication","TP",NA,"No threshold identified"
"HB","Response","Additive model, 50% probability of attaining ASCI_D score above 1.05.","High","Eutrophication","TP",NA,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"HB","Response","Additive model, 50% probability of attaining ASCI_D score above 0.88.","Intermediate","Eutrophication","TP",0.032,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"HB","Response","Additive model, 50% probability of attaining ASCI_D score above 0.74.","Low","Eutrophication","TP",0.131,""
"HB","Response","Additive model, 50% probability of attaining ASCI_H score above 1.02.","High","Eutrophication","TP",NA,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"HB","Response","Additive model, 50% probability of attaining ASCI_H score above 0.87.","Intermediate","Eutrophication","TP",0.05,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"HB","Response","Additive model, 50% probability of attaining ASCI_H score above 0.74.","Low","Eutrophication","TP",0.144,""
"HB","Response","Additive model, 50% probability of attaining CSCI score above 0.74.","High","Eutrophication","TP",0.14,""
"HB","Response","Additive model, 50% probability of attaining CSCI score above 0.67.","Intermediate","Eutrophication","TP",0.203,""
"HB","Response","Additive model, 50% probability of attaining CSCI score above 0.55.","Low","Eutrophication","TP",0.408,""
"SB2","Response","Additive model, 50% probability of attaining ASCI_D score above 0.93.","High","Eutrophication","TP",0.003,""
"SB2","Response","Additive model, 50% probability of attaining ASCI_D score above 0.77.","Intermediate","Eutrophication","TP",0.107,""
"SB2","Response","Additive model, 50% probability of attaining ASCI_D score above 0.64.","Low","Eutrophication","TP",0.236,""
"SB2","Response","Additive model, 50% probability of attaining ASCI_H score above 0.88.","High","Eutrophication","TP",0.044,""
"SB2","Response","Additive model, 50% probability of attaining ASCI_H score above 0.76.","Intermediate","Eutrophication","TP",0.128,""
"SB2","Response","Additive model, 50% probability of attaining ASCI_H score above 0.6.","Low","Eutrophication","TP",0.323,""
"SB2","Response","Additive model, 50% probability of attaining CSCI score above 0.96.","High","Eutrophication","TP",0.005,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"SB2","Response","Additive model, 50% probability of attaining CSCI score above 0.75.","Intermediate","Eutrophication","TP",0.132,""
"SB2","Response","Additive model, 50% probability of attaining CSCI score above 0.64.","Low","Eutrophication","TP",0.236,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"SB1","Response","Additive model, 50% probability of attaining ASCI_D score above 1.01.","High","Eutrophication","TP",NA,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"SB1","Response","Additive model, 50% probability of attaining ASCI_D score above 0.85.","Intermediate","Eutrophication","TP",0.051,""
"SB1","Response","Additive model, 50% probability of attaining ASCI_D score above 0.68.","Low","Eutrophication","TP",0.188,""
"SB1","Response","Additive model, 50% probability of attaining ASCI_H score above 0.97.","High","Eutrophication","TP",NA,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"SB1","Response","Additive model, 50% probability of attaining ASCI_H score above 0.86.","Intermediate","Eutrophication","TP",0.056,""
"SB1","Response","Additive model, 50% probability of attaining ASCI_H score above 0.67.","Low","Eutrophication","TP",0.215,""
"SB1","Response","Additive model, 50% probability of attaining CSCI score above 1.1.","High","Eutrophication","TP",NA,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"SB1","Response","Additive model, 50% probability of attaining CSCI score above 1.","Intermediate","Eutrophication","TP",NA,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"SB1","Response","Additive model, 50% probability of attaining CSCI score above 0.81.","Low","Eutrophication","TP",0.089,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"SB0","Response","Additive model, 50% probability of attaining ASCI_D score above 1.01.","High","Eutrophication","TP",NA,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"SB0","Response","Additive model, 50% probability of attaining ASCI_D score above 0.77.","Intermediate","Eutrophication","TP",0.107,""
"SB0","Response","Additive model, 50% probability of attaining ASCI_D score above 0.68.","Low","Eutrophication","TP",0.188,""
"SB0","Response","Additive model, 50% probability of attaining ASCI_H score above 0.94.","High","Eutrophication","TP",0.009,""
"SB0","Response","Additive model, 50% probability of attaining ASCI_H score above 0.79.","Intermediate","Eutrophication","TP",0.104,""
"SB0","Response","Additive model, 50% probability of attaining ASCI_H score above 0.64.","Low","Eutrophication","TP",0.254,""
"SB0","Response","Additive model, 50% probability of attaining CSCI score above 0.99.","High","Eutrophication","TP",NA,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"SB0","Response","Additive model, 50% probability of attaining CSCI score above 0.78.","Intermediate","Eutrophication","TP",0.11,""
"SB0","Response","Additive model, 50% probability of attaining CSCI score above 0.66.","Low","Eutrophication","TP",0.213,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"CC","Response","Additive model, 50% probability of attaining ASCI_D score above NA.","High","Eutrophication","TP",NA,"Insufficient data"
"CC","Response","Additive model, 50% probability of attaining ASCI_D score above NA.","Intermediate","Eutrophication","TP",NA,"Insufficient data"
"CC","Response","Additive model, 50% probability of attaining ASCI_D score above NA.","Low","Eutrophication","TP",NA,"Insufficient data"
"CC","Response","Additive model, 50% probability of attaining ASCI_H score above NA.","High","Eutrophication","TP",NA,"Insufficient data"
"CC","Response","Additive model, 50% probability of attaining ASCI_H score above NA.","Intermediate","Eutrophication","TP",NA,"Insufficient data"
"CC","Response","Additive model, 50% probability of attaining ASCI_H score above NA.","Low","Eutrophication","TP",NA,"Insufficient data"
"CC","Response","Additive model, 50% probability of attaining CSCI score above 0.53.","High","Eutrophication","TP",0.557,""
"CC","Response","Additive model, 50% probability of attaining CSCI score above 0.45.","Intermediate","Eutrophication","TP",NA,"No threshold identified"
"CC","Response","Additive model, 50% probability of attaining CSCI score above 0.37.","Low","Eutrophication","TP",NA,"No threshold identified"
"Wadeable streams","Response","Additive model, 50% probability of attaining ASCI_D score above 0.94.","High","Eutrophication","Chl-a",NA,"No threshold identified"
"Wadeable streams","Response","Additive model, 50% probability of attaining ASCI_D score above 0.86.","Intermediate","Eutrophication","Chl-a",19.5,""
"Wadeable streams","Response","Additive model, 50% probability of attaining ASCI_D score above 0.75.","Low","Eutrophication","Chl-a",64.9,""
"Wadeable streams","Response","Additive model, 50% probability of attaining ASCI_H score above 0.94.","High","Eutrophication","Chl-a",2.4,""
"Wadeable streams","Response","Additive model, 50% probability of attaining ASCI_H score above 0.86.","Intermediate","Eutrophication","Chl-a",24.3,""
"Wadeable streams","Response","Additive model, 50% probability of attaining ASCI_H score above 0.75.","Low","Eutrophication","Chl-a",68.2,""
"Wadeable streams","Response","Additive model, 50% probability of attaining CSCI score above 0.92.","High","Eutrophication","Chl-a",10.2,""
"Wadeable streams","Response","Additive model, 50% probability of attaining CSCI score above 0.79.","Intermediate","Eutrophication","Chl-a",51.1,""
"Wadeable streams","Response","Additive model, 50% probability of attaining CSCI score above 0.63.","Low","Eutrophication","Chl-a",160.1,""
"RFI-N","Response","Additive model, 50% probability of attaining ASCI_D score above 0.98.","High","Eutrophication","Chl-a",NA,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"RFI-N","Response","Additive model, 50% probability of attaining ASCI_D score above 0.9.","Intermediate","Eutrophication","Chl-a",6.9,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"RFI-N","Response","Additive model, 50% probability of attaining ASCI_D score above 0.78.","Low","Eutrophication","Chl-a",50.2,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"RFI-N","Response","Additive model, 50% probability of attaining ASCI_H score above 0.96.","High","Eutrophication","Chl-a",NA,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"RFI-N","Response","Additive model, 50% probability of attaining ASCI_H score above 0.9.","Intermediate","Eutrophication","Chl-a",12.6,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"RFI-N","Response","Additive model, 50% probability of attaining ASCI_H score above 0.81.","Low","Eutrophication","Chl-a",41.4,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"RFI-N","Response","Additive model, 50% probability of attaining CSCI score above 0.73.","High","Eutrophication","Chl-a",77.5,""
"RFI-N","Response","Additive model, 50% probability of attaining CSCI score above 0.61.","Intermediate","Eutrophication","Chl-a",197.6,""
"RFI-N","Response","Additive model, 50% probability of attaining CSCI score above 0.44.","Low","Eutrophication","Chl-a",NA,"No threshold identified"
"RFI-S","Response","Additive model, 50% probability of attaining ASCI_D score above 0.91.","High","Eutrophication","Chl-a",4.2,""
"RFI-S","Response","Additive model, 50% probability of attaining ASCI_D score above 0.8.","Intermediate","Eutrophication","Chl-a",41.7,""
"RFI-S","Response","Additive model, 50% probability of attaining ASCI_D score above 0.66.","Low","Eutrophication","Chl-a",134.5,""
"RFI-S","Response","Additive model, 50% probability of attaining ASCI_H score above 0.91.","High","Eutrophication","Chl-a",10.2,""
"RFI-S","Response","Additive model, 50% probability of attaining ASCI_H score above 0.8.","Intermediate","Eutrophication","Chl-a",45,""
"RFI-S","Response","Additive model, 50% probability of attaining ASCI_H score above 0.65.","Low","Eutrophication","Chl-a",NA,"No threshold identified"
"RFI-S","Response","Additive model, 50% probability of attaining CSCI score above 0.89.","High","Eutrophication","Chl-a",18.3,""
"RFI-S","Response","Additive model, 50% probability of attaining CSCI score above 0.82.","Intermediate","Eutrophication","Chl-a",39.9,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"RFI-S","Response","Additive model, 50% probability of attaining CSCI score above 0.71.","Low","Eutrophication","Chl-a",88.6,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"CVF","Response","Additive model, 50% probability of attaining ASCI_D score above 1.13.","High","Eutrophication","Chl-a",NA,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"CVF","Response","Additive model, 50% probability of attaining ASCI_D score above 1.02.","Intermediate","Eutrophication","Chl-a",NA,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"CVF","Response","Additive model, 50% probability of attaining ASCI_D score above 0.92.","Low","Eutrophication","Chl-a",1.2,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"CVF","Response","Additive model, 50% probability of attaining ASCI_H score above 1.05.","High","Eutrophication","Chl-a",NA,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"CVF","Response","Additive model, 50% probability of attaining ASCI_H score above 0.94.","Intermediate","Eutrophication","Chl-a",2.4,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"CVF","Response","Additive model, 50% probability of attaining ASCI_H score above 0.8.","Low","Eutrophication","Chl-a",45,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"CVF","Response","Additive model, 50% probability of attaining CSCI score above 0.85.","High","Eutrophication","Chl-a",30,""
"CVF","Response","Additive model, 50% probability of attaining CSCI score above 0.67.","Intermediate","Eutrophication","Chl-a",116.2,""
"CVF","Response","Additive model, 50% probability of attaining CSCI score above 0.52.","Low","Eutrophication","Chl-a",NA,"No threshold identified"
"HB","Response","Additive model, 50% probability of attaining ASCI_D score above 1.05.","High","Eutrophication","Chl-a",NA,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"HB","Response","Additive model, 50% probability of attaining ASCI_D score above 0.88.","Intermediate","Eutrophication","Chl-a",13.2,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"HB","Response","Additive model, 50% probability of attaining ASCI_D score above 0.74.","Low","Eutrophication","Chl-a",70.3,""
"HB","Response","Additive model, 50% probability of attaining ASCI_H score above 1.02.","High","Eutrophication","Chl-a",NA,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"HB","Response","Additive model, 50% probability of attaining ASCI_H score above 0.87.","Intermediate","Eutrophication","Chl-a",21.3,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"HB","Response","Additive model, 50% probability of attaining ASCI_H score above 0.74.","Low","Eutrophication","Chl-a",73.9,""
"HB","Response","Additive model, 50% probability of attaining CSCI score above 0.74.","High","Eutrophication","Chl-a",72.7,""
"HB","Response","Additive model, 50% probability of attaining CSCI score above 0.67.","Intermediate","Eutrophication","Chl-a",116.2,""
"HB","Response","Additive model, 50% probability of attaining CSCI score above 0.55.","Low","Eutrophication","Chl-a",NA,"No threshold identified"
"SB2","Response","Additive model, 50% probability of attaining ASCI_D score above 0.93.","High","Eutrophication","Chl-a",NA,"No threshold identified"
"SB2","Response","Additive model, 50% probability of attaining ASCI_D score above 0.77.","Intermediate","Eutrophication","Chl-a",55,""
"SB2","Response","Additive model, 50% probability of attaining ASCI_D score above 0.64.","Low","Eutrophication","Chl-a",166.1,""
"SB2","Response","Additive model, 50% probability of attaining ASCI_H score above 0.88.","High","Eutrophication","Chl-a",18.3,""
"SB2","Response","Additive model, 50% probability of attaining ASCI_H score above 0.76.","Intermediate","Eutrophication","Chl-a",63.1,""
"SB2","Response","Additive model, 50% probability of attaining ASCI_H score above 0.6.","Low","Eutrophication","Chl-a",NA,"No threshold identified"
"SB2","Response","Additive model, 50% probability of attaining CSCI score above 0.96.","High","Eutrophication","Chl-a",0,"Eutrophication threshold is set for a biointegrity goal that is above reference."
