"Class","Class_fullname","Approach","Response_model_form","Response_model_index","Response_model_goal","Response_model_detail","Details","Stringency","Indicator_Type","Indicator","Threshold_value","Flag"
"RFI-N","Intermittent northern California","Reference","","",,"","70th percentile of reference values","High","Eutrophication","% cover",24,""
"RFI-N","Intermittent northern California","Reference","","",,"","90th percentile of reference values","Intermediate","Eutrophication","% cover",29,""
"RFI-N","Intermittent northern California","Reference","","",,"","99th percentile of reference values","Low","Eutrophication","% cover",42,""
"RFI-S","Intermittent southern California","Reference","","",,"","70th percentile of reference values","High","Eutrophication","% cover",39,""
"RFI-S","Intermittent southern California","Reference","","",,"","90th percentile of reference values","Intermediate","Eutrophication","% cover",55,""
"RFI-S","Intermittent southern California","Reference","","",,"","99th percentile of reference values","Low","Eutrophication","% cover",87,""
"CVF","Central Valley Floor","Best observed","","",,"","1st percentile of observed values","High","Eutrophication","% cover",0,""
"CVF","Central Valley Floor","Best observed","","",,"","10th percentile of observed values","Intermediate","Eutrophication","% cover",0,""
"CVF","Central Valley Floor","Best observed","","",,"","30th percentile of observed values","Low","Eutrophication","% cover",2,""
"HB","Hard bottom","Best observed","","",,"","1st percentile of observed values","High","Eutrophication","% cover",0,""
"HB","Hard bottom","Best observed","","",,"","10th percentile of observed values","Intermediate","Eutrophication","% cover",10,""
"HB","Hard bottom","Best observed","","",,"","30th percentile of observed values","Low","Eutrophication","% cover",35,""
"SB2","Soft bottom engineered channel, two hardened sides","Best observed","","",,"","1st percentile of observed values","High","Eutrophication","% cover",0,""
"SB2","Soft bottom engineered channel, two hardened sides","Best observed","","",,"","10th percentile of observed values","Intermediate","Eutrophication","% cover",10,""
"SB2","Soft bottom engineered channel, two hardened sides","Best observed","","",,"","30th percentile of observed values","Low","Eutrophication","% cover",26,""
"SB1","Soft bottom engineered channel, one hardened side","Best observed","","",,"","1st percentile of observed values","High","Eutrophication","% cover",1,""
"SB1","Soft bottom engineered channel, one hardened side","Best observed","","",,"","10th percentile of observed values","Intermediate","Eutrophication","% cover",4,""
"SB1","Soft bottom engineered channel, one hardened side","Best observed","","",,"","30th percentile of observed values","Low","Eutrophication","% cover",9,""
"SB0","Soft bottom engineered channel, no hardened sides","Best observed","","",,"","1st percentile of observed values","High","Eutrophication","% cover",0,""
"SB0","Soft bottom engineered channel, no hardened sides","Best observed","","",,"","10th percentile of observed values","Intermediate","Eutrophication","% cover",5,""
"SB0","Soft bottom engineered channel, no hardened sides","Best observed","","",,"","30th percentile of observed values","Low","Eutrophication","% cover",16,""
"CC","Constructed channel","Best observed","","",,"","1st percentile of observed values","High","Eutrophication","% cover",,"Insufficient data"
"CC","Constructed channel","Best observed","","",,"","10th percentile of observed values","Intermediate","Eutrophication","% cover",,"Insufficient data"
"CC","Constructed channel","Best observed","","",,"","30th percentile of observed values","Low","Eutrophication","% cover",,"Insufficient data"
"Wadeable streams","Wadeable streams","Response","LR","ASCI_D",0.94,"Logistic model, 80% probability of attaining ASCI_D score above 0.94.","Logistic model, 80% probability of attaining ASCI_D score above 0.94.","High","Eutrophication","TN",0.141,""
"Wadeable streams","Wadeable streams","Response","LR","ASCI_D",0.86,"Logistic model, 80% probability of attaining ASCI_D score above 0.86.","Logistic model, 80% probability of attaining ASCI_D score above 0.86.","Intermediate","Eutrophication","TN",0.33,""
"Wadeable streams","Wadeable streams","Response","LR","ASCI_D",0.75,"Logistic model, 80% probability of attaining ASCI_D score above 0.75.","Logistic model, 80% probability of attaining ASCI_D score above 0.75.","Low","Eutrophication","TN",1.081,""
"Wadeable streams","Wadeable streams","Response","LR","ASCI_H",0.94,"Logistic model, 80% probability of attaining ASCI_H score above 0.94.","Logistic model, 80% probability of attaining ASCI_H score above 0.94.","High","Eutrophication","TN",0.132,""
"Wadeable streams","Wadeable streams","Response","LR","ASCI_H",0.86,"Logistic model, 80% probability of attaining ASCI_H score above 0.86.","Logistic model, 80% probability of attaining ASCI_H score above 0.86.","Intermediate","Eutrophication","TN",0.24,""
"Wadeable streams","Wadeable streams","Response","LR","ASCI_H",0.75,"Logistic model, 80% probability of attaining ASCI_H score above 0.75.","Logistic model, 80% probability of attaining ASCI_H score above 0.75.","Low","Eutrophication","TN",1.258,""
"Wadeable streams","Wadeable streams","Response","LR","CSCI",0.92,"Logistic model, 80% probability of attaining CSCI score above 0.92.","Logistic model, 80% probability of attaining CSCI score above 0.92.","High","Eutrophication","TN",0.682,""
"Wadeable streams","Wadeable streams","Response","LR","CSCI",0.79,"Logistic model, 80% probability of attaining CSCI score above 0.79.","Logistic model, 80% probability of attaining CSCI score above 0.79.","Intermediate","Eutrophication","TN",1.189,""
"Wadeable streams","Wadeable streams","Response","LR","CSCI",0.63,"Logistic model, 80% probability of attaining CSCI score above 0.63.","Logistic model, 80% probability of attaining CSCI score above 0.63.","Low","Eutrophication","TN",,"No threshold identified"
"Wadeable streams","Wadeable streams","Response","LR","ASCI_D",0.94,"Logistic model, 80% probability of attaining ASCI_D score above 0.94.","Logistic model, 80% probability of attaining ASCI_D score above 0.94.","High","Eutrophication","TP",0.021,""
"Wadeable streams","Wadeable streams","Response","LR","ASCI_D",0.86,"Logistic model, 80% probability of attaining ASCI_D score above 0.86.","Logistic model, 80% probability of attaining ASCI_D score above 0.86.","Intermediate","Eutrophication","TP",0.054,""
"Wadeable streams","Wadeable streams","Response","LR","ASCI_D",0.75,"Logistic model, 80% probability of attaining ASCI_D score above 0.75.","Logistic model, 80% probability of attaining ASCI_D score above 0.75.","Low","Eutrophication","TP",0.141,""
"Wadeable streams","Wadeable streams","Response","LR","ASCI_H",0.94,"Logistic model, 80% probability of attaining ASCI_H score above 0.94.","Logistic model, 80% probability of attaining ASCI_H score above 0.94.","High","Eutrophication","TP",0.03,""
"Wadeable streams","Wadeable streams","Response","LR","ASCI_H",0.86,"Logistic model, 80% probability of attaining ASCI_H score above 0.86.","Logistic model, 80% probability of attaining ASCI_H score above 0.86.","Intermediate","Eutrophication","TP",0.054,""
"Wadeable streams","Wadeable streams","Response","LR","ASCI_H",0.75,"Logistic model, 80% probability of attaining ASCI_H score above 0.75.","Logistic model, 80% probability of attaining ASCI_H score above 0.75.","Low","Eutrophication","TP",0.156,""
"Wadeable streams","Wadeable streams","Response","LR","CSCI",0.92,"Logistic model, 80% probability of attaining CSCI score above 0.92.","Logistic model, 80% probability of attaining CSCI score above 0.92.","High","Eutrophication","TP",0.051,""
"Wadeable streams","Wadeable streams","Response","LR","CSCI",0.79,"Logistic model, 80% probability of attaining CSCI score above 0.79.","Logistic model, 80% probability of attaining CSCI score above 0.79.","Intermediate","Eutrophication","TP",0.194,""
"Wadeable streams","Wadeable streams","Response","LR","CSCI",0.63,"Logistic model, 80% probability of attaining CSCI score above 0.63.","Logistic model, 80% probability of attaining CSCI score above 0.63.","Low","Eutrophication","TP",0.77,""
"Wadeable streams","Wadeable streams","Response","LR","ASCI_D",0.94,"Logistic model, 80% probability of attaining ASCI_D score above 0.94.","Logistic model, 80% probability of attaining ASCI_D score above 0.94.","High","Eutrophication","Chl-a",46.8,""
"Wadeable streams","Wadeable streams","Response","LR","ASCI_D",0.86,"Logistic model, 80% probability of attaining ASCI_D score above 0.86.","Logistic model, 80% probability of attaining ASCI_D score above 0.86.","Intermediate","Eutrophication","Chl-a",46.8,""
"Wadeable streams","Wadeable streams","Response","LR","ASCI_D",0.75,"Logistic model, 80% probability of attaining ASCI_D score above 0.75.","Logistic model, 80% probability of attaining ASCI_D score above 0.75.","Low","Eutrophication","Chl-a",83.2,""
"Wadeable streams","Wadeable streams","Response","LR","ASCI_H",0.94,"Logistic model, 80% probability of attaining ASCI_H score above 0.94.","Logistic model, 80% probability of attaining ASCI_H score above 0.94.","High","Eutrophication","Chl-a",46.5,""
"Wadeable streams","Wadeable streams","Response","LR","ASCI_H",0.86,"Logistic model, 80% probability of attaining ASCI_H score above 0.86.","Logistic model, 80% probability of attaining ASCI_H score above 0.86.","Intermediate","Eutrophication","Chl-a",44.1,""
"Wadeable streams","Wadeable streams","Response","LR","ASCI_H",0.75,"Logistic model, 80% probability of attaining ASCI_H score above 0.75.","Logistic model, 80% probability of attaining ASCI_H score above 0.75.","Low","Eutrophication","Chl-a",77.8,""
"Wadeable streams","Wadeable streams","Response","LR","CSCI",0.92,"Logistic model, 80% probability of attaining CSCI score above 0.92.","Logistic model, 80% probability of attaining CSCI score above 0.92.","High","Eutrophication","Chl-a",26.4,""
"Wadeable streams","Wadeable streams","Response","LR","CSCI",0.79,"Logistic model, 80% probability of attaining CSCI score above 0.79.","Logistic model, 80% probability of attaining CSCI score above 0.79.","Intermediate","Eutrophication","Chl-a",48.9,""
"Wadeable streams","Wadeable streams","Response","LR","CSCI",0.63,"Logistic model, 80% probability of attaining CSCI score above 0.63.","Logistic model, 80% probability of attaining CSCI score above 0.63.","Low","Eutrophication","Chl-a",98.5,""
"Wadeable streams","Wadeable streams","Response","LR","ASCI_D",0.94,"Logistic model, 80% probability of attaining ASCI_D score above 0.94.","Logistic model, 80% probability of attaining ASCI_D score above 0.94.","High","Eutrophication","AFDM",17.3,""
"Wadeable streams","Wadeable streams","Response","LR","ASCI_D",0.86,"Logistic model, 80% probability of attaining ASCI_D score above 0.86.","Logistic model, 80% probability of attaining ASCI_D score above 0.86.","Intermediate","Eutrophication","AFDM",24.8,""
"Wadeable streams","Wadeable streams","Response","LR","ASCI_D",0.75,"Logistic model, 80% probability of attaining ASCI_D score above 0.75.","Logistic model, 80% probability of attaining ASCI_D score above 0.75.","Low","Eutrophication","AFDM",42,""
"Wadeable streams","Wadeable streams","Response","LR","ASCI_H",0.94,"Logistic model, 80% probability of attaining ASCI_H score above 0.94.","Logistic model, 80% probability of attaining ASCI_H score above 0.94.","High","Eutrophication","AFDM",19.5,""
"Wadeable streams","Wadeable streams","Response","LR","ASCI_H",0.86,"Logistic model, 80% probability of attaining ASCI_H score above 0.86.","Logistic model, 80% probability of attaining ASCI_H score above 0.86.","Intermediate","Eutrophication","AFDM",24.8,""
"Wadeable streams","Wadeable streams","Response","LR","ASCI_H",0.75,"Logistic model, 80% probability of attaining ASCI_H score above 0.75.","Logistic model, 80% probability of attaining ASCI_H score above 0.75.","Low","Eutrophication","AFDM",45.8,""
"Wadeable streams","Wadeable streams","Response","LR","CSCI",0.92,"Logistic model, 80% probability of attaining CSCI score above 0.92.","Logistic model, 80% probability of attaining CSCI score above 0.92.","High","Eutrophication","AFDM",25.5,""
"Wadeable streams","Wadeable streams","Response","LR","CSCI",0.79,"Logistic model, 80% probability of attaining CSCI score above 0.79.","Logistic model, 80% probability of attaining CSCI score above 0.79.","Intermediate","Eutrophication","AFDM",41.3,""
"Wadeable streams","Wadeable streams","Response","LR","CSCI",0.63,"Logistic model, 80% probability of attaining CSCI score above 0.63.","Logistic model, 80% probability of attaining CSCI score above 0.63.","Low","Eutrophication","AFDM",68.3,""
"Wadeable streams","Wadeable streams","Response","LR","ASCI_D",0.94,"Logistic model, 80% probability of attaining ASCI_D score above 0.94.","Logistic model, 80% probability of attaining ASCI_D score above 0.94.","High","Eutrophication","% cover",23,""
"Wadeable streams","Wadeable streams","Response","LR","ASCI_D",0.86,"Logistic model, 80% probability of attaining ASCI_D score above 0.86.","Logistic model, 80% probability of attaining ASCI_D score above 0.86.","Intermediate","Eutrophication","% cover",27,""
"Wadeable streams","Wadeable streams","Response","LR","ASCI_D",0.75,"Logistic model, 80% probability of attaining ASCI_D score above 0.75.","Logistic model, 80% probability of attaining ASCI_D score above 0.75.","Low","Eutrophication","% cover",37,""
"Wadeable streams","Wadeable streams","Response","LR","ASCI_H",0.94,"Logistic model, 80% probability of attaining ASCI_H score above 0.94.","Logistic model, 80% probability of attaining ASCI_H score above 0.94.","High","Eutrophication","% cover",29,""
"Wadeable streams","Wadeable streams","Response","LR","ASCI_H",0.86,"Logistic model, 80% probability of attaining ASCI_H score above 0.86.","Logistic model, 80% probability of attaining ASCI_H score above 0.86.","Intermediate","Eutrophication","% cover",31,""
"Wadeable streams","Wadeable streams","Response","LR","ASCI_H",0.75,"Logistic model, 80% probability of attaining ASCI_H score above 0.75.","Logistic model, 80% probability of attaining ASCI_H score above 0.75.","Low","Eutrophication","% cover",41,""
"Wadeable streams","Wadeable streams","Response","LR","CSCI",0.92,"Logistic model, 80% probability of attaining CSCI score above 0.92.","Logistic model, 80% probability of attaining CSCI score above 0.92.","High","Eutrophication","% cover",21,""
"Wadeable streams","Wadeable streams","Response","LR","CSCI",0.79,"Logistic model, 80% probability of attaining CSCI score above 0.79.","Logistic model, 80% probability of attaining CSCI score above 0.79.","Intermediate","Eutrophication","% cover",31,""
"Wadeable streams","Wadeable streams","Response","LR","CSCI",0.63,"Logistic model, 80% probability of attaining CSCI score above 0.63.","Logistic model, 80% probability of attaining CSCI score above 0.63.","Low","Eutrophication","% cover",53,""
"Wadeable streams","Wadeable streams","Response","SCAM","ASCI_D",0.94,"Additive model, 50% probability of attaining ASCI_D score above 0.94.","Additive model, 50% probability of attaining ASCI_D score above 0.94.","High","Eutrophication","TN",,"No threshold identified"
"Wadeable streams","Wadeable streams","Response","SCAM","ASCI_D",0.86,"Additive model, 50% probability of attaining ASCI_D score above 0.86.","Additive model, 50% probability of attaining ASCI_D score above 0.86.","Intermediate","Eutrophication","TN",0.348,""
"Wadeable streams","Wadeable streams","Response","SCAM","ASCI_D",0.75,"Additive model, 50% probability of attaining ASCI_D score above 0.75.","Additive model, 50% probability of attaining ASCI_D score above 0.75.","Low","Eutrophication","TN",0.991,""
"Wadeable streams","Wadeable streams","Response","SCAM","ASCI_H",0.94,"Additive model, 50% probability of attaining ASCI_H score above 0.94.","Additive model, 50% probability of attaining ASCI_H score above 0.94.","High","Eutrophication","TN",0.054,""
"Wadeable streams","Wadeable streams","Response","SCAM","ASCI_H",0.86,"Additive model, 50% probability of attaining ASCI_H score above 0.86.","Additive model, 50% probability of attaining ASCI_H score above 0.86.","Intermediate","Eutrophication","TN",0.453,""
"Wadeable streams","Wadeable streams","Response","SCAM","ASCI_H",0.75,"Additive model, 50% probability of attaining ASCI_H score above 0.75.","Additive model, 50% probability of attaining ASCI_H score above 0.75.","Low","Eutrophication","TN",1.114,""
"Wadeable streams","Wadeable streams","Response","SCAM","CSCI",0.92,"Additive model, 50% probability of attaining CSCI score above 0.92.","Additive model, 50% probability of attaining CSCI score above 0.92.","High","Eutrophication","TN",0.165,""
"Wadeable streams","Wadeable streams","Response","SCAM","CSCI",0.79,"Additive model, 50% probability of attaining CSCI score above 0.79.","Additive model, 50% probability of attaining CSCI score above 0.79.","Intermediate","Eutrophication","TN",1.021,""
"Wadeable streams","Wadeable streams","Response","SCAM","CSCI",0.63,"Additive model, 50% probability of attaining CSCI score above 0.63.","Additive model, 50% probability of attaining CSCI score above 0.63.","Low","Eutrophication","TN",2.601,""
"RFI-N","Intermittent northern California","Response","SCAM","ASCI_D",0.99,"Additive model, 50% probability of attaining ASCI_D score above 0.99.","Additive model, 50% probability of attaining ASCI_D score above 0.99.","High","Eutrophication","TN",,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"RFI-N","Intermittent northern California","Response","SCAM","ASCI_D",0.91,"Additive model, 50% probability of attaining ASCI_D score above 0.91.","Additive model, 50% probability of attaining ASCI_D score above 0.91.","Intermediate","Eutrophication","TN",0.099,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"RFI-N","Intermittent northern California","Response","SCAM","ASCI_D",0.79,"Additive model, 50% probability of attaining ASCI_D score above 0.79.","Additive model, 50% probability of attaining ASCI_D score above 0.79.","Low","Eutrophication","TN",0.742,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"RFI-N","Intermittent northern California","Response","SCAM","ASCI_H",0.97,"Additive model, 50% probability of attaining ASCI_H score above 0.97.","Additive model, 50% probability of attaining ASCI_H score above 0.97.","High","Eutrophication","TN",,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"RFI-N","Intermittent northern California","Response","SCAM","ASCI_H",0.9,"Additive model, 50% probability of attaining ASCI_H score above 0.9.","Additive model, 50% probability of attaining ASCI_H score above 0.9.","Intermediate","Eutrophication","TN",0.246,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"RFI-N","Intermittent northern California","Response","SCAM","ASCI_H",0.81,"Additive model, 50% probability of attaining ASCI_H score above 0.81.","Additive model, 50% probability of attaining ASCI_H score above 0.81.","Low","Eutrophication","TN",0.736,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"RFI-N","Intermittent northern California","Response","SCAM","CSCI",0.74,"Additive model, 50% probability of attaining CSCI score above 0.74.","Additive model, 50% probability of attaining CSCI score above 0.74.","High","Eutrophication","TN",1.423,""
"RFI-N","Intermittent northern California","Response","SCAM","CSCI",0.61,"Additive model, 50% probability of attaining CSCI score above 0.61.","Additive model, 50% probability of attaining CSCI score above 0.61.","Intermediate","Eutrophication","TN",2.895,""
"RFI-N","Intermittent northern California","Response","SCAM","CSCI",0.44,"Additive model, 50% probability of attaining CSCI score above 0.44.","Additive model, 50% probability of attaining CSCI score above 0.44.","Low","Eutrophication","TN",,"No threshold identified"
"RFI-S","Intermittent southern California","Response","SCAM","ASCI_D",0.91,"Additive model, 50% probability of attaining ASCI_D score above 0.91.","Additive model, 50% probability of attaining ASCI_D score above 0.91.","High","Eutrophication","TN",0.099,""
"RFI-S","Intermittent southern California","Response","SCAM","ASCI_D",0.8,"Additive model, 50% probability of attaining ASCI_D score above 0.8.","Additive model, 50% probability of attaining ASCI_D score above 0.8.","Intermediate","Eutrophication","TN",0.682,""
"RFI-S","Intermittent southern California","Response","SCAM","ASCI_D",0.66,"Additive model, 50% probability of attaining ASCI_D score above 0.66.","Additive model, 50% probability of attaining ASCI_D score above 0.66.","Low","Eutrophication","TN",1.658,""
"RFI-S","Intermittent southern California","Response","SCAM","ASCI_H",0.91,"Additive model, 50% probability of attaining ASCI_H score above 0.91.","Additive model, 50% probability of attaining ASCI_H score above 0.91.","High","Eutrophication","TN",0.198,""
"RFI-S","Intermittent southern California","Response","SCAM","ASCI_H",0.8,"Additive model, 50% probability of attaining ASCI_H score above 0.8.","Additive model, 50% probability of attaining ASCI_H score above 0.8.","Intermediate","Eutrophication","TN",0.796,""
"RFI-S","Intermittent southern California","Response","SCAM","ASCI_H",0.65,"Additive model, 50% probability of attaining ASCI_H score above 0.65.","Additive model, 50% probability of attaining ASCI_H score above 0.65.","Low","Eutrophication","TN",1.895,""
"RFI-S","Intermittent southern California","Response","SCAM","CSCI",0.89,"Additive model, 50% probability of attaining CSCI score above 0.89.","Additive model, 50% probability of attaining CSCI score above 0.89.","High","Eutrophication","TN",0.345,""
"RFI-S","Intermittent southern California","Response","SCAM","CSCI",0.82,"Additive model, 50% probability of attaining CSCI score above 0.82.","Additive model, 50% probability of attaining CSCI score above 0.82.","Intermediate","Eutrophication","TN",0.802,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"RFI-S","Intermittent southern California","Response","SCAM","CSCI",0.71,"Additive model, 50% probability of attaining CSCI score above 0.71.","Additive model, 50% probability of attaining CSCI score above 0.71.","Low","Eutrophication","TN",1.697,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"CVF","Central Valley Floor","Response","SCAM","ASCI_D",1.13,"Additive model, 50% probability of attaining ASCI_D score above 1.13.","Additive model, 50% probability of attaining ASCI_D score above 1.13.","High","Eutrophication","TN",,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"CVF","Central Valley Floor","Response","SCAM","ASCI_D",1.02,"Additive model, 50% probability of attaining ASCI_D score above 1.02.","Additive model, 50% probability of attaining ASCI_D score above 1.02.","Intermediate","Eutrophication","TN",,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"CVF","Central Valley Floor","Response","SCAM","ASCI_D",0.92,"Additive model, 50% probability of attaining ASCI_D score above 0.92.","Additive model, 50% probability of attaining ASCI_D score above 0.92.","Low","Eutrophication","TN",0.051,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"CVF","Central Valley Floor","Response","SCAM","ASCI_H",1.05,"Additive model, 50% probability of attaining ASCI_H score above 1.05.","Additive model, 50% probability of attaining ASCI_H score above 1.05.","High","Eutrophication","TN",,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"CVF","Central Valley Floor","Response","SCAM","ASCI_H",0.94,"Additive model, 50% probability of attaining ASCI_H score above 0.94.","Additive model, 50% probability of attaining ASCI_H score above 0.94.","Intermediate","Eutrophication","TN",0.054,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"CVF","Central Valley Floor","Response","SCAM","ASCI_H",0.8,"Additive model, 50% probability of attaining ASCI_H score above 0.8.","Additive model, 50% probability of attaining ASCI_H score above 0.8.","Low","Eutrophication","TN",0.796,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"CVF","Central Valley Floor","Response","SCAM","CSCI",0.85,"Additive model, 50% probability of attaining CSCI score above 0.85.","Additive model, 50% probability of attaining CSCI score above 0.85.","High","Eutrophication","TN",0.598,""
"CVF","Central Valley Floor","Response","SCAM","CSCI",0.67,"Additive model, 50% probability of attaining CSCI score above 0.67.","Additive model, 50% probability of attaining CSCI score above 0.67.","Intermediate","Eutrophication","TN",2.108,""
"CVF","Central Valley Floor","Response","SCAM","CSCI",0.52,"Additive model, 50% probability of attaining CSCI score above 0.52.","Additive model, 50% probability of attaining CSCI score above 0.52.","Low","Eutrophication","TN",,"No threshold identified"
"HB","Hard bottom","Response","SCAM","ASCI_D",1.05,"Additive model, 50% probability of attaining ASCI_D score above 1.05.","Additive model, 50% probability of attaining ASCI_D score above 1.05.","High","Eutrophication","TN",,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"HB","Hard bottom","Response","SCAM","ASCI_D",0.88,"Additive model, 50% probability of attaining ASCI_D score above 0.88.","Additive model, 50% probability of attaining ASCI_D score above 0.88.","Intermediate","Eutrophication","TN",0.246,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"HB","Hard bottom","Response","SCAM","ASCI_D",0.74,"Additive model, 50% probability of attaining ASCI_D score above 0.74.","Additive model, 50% probability of attaining ASCI_D score above 0.74.","Low","Eutrophication","TN",1.057,""
"HB","Hard bottom","Response","SCAM","ASCI_H",1.02,"Additive model, 50% probability of attaining ASCI_H score above 1.02.","Additive model, 50% probability of attaining ASCI_H score above 1.02.","High","Eutrophication","TN",,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"HB","Hard bottom","Response","SCAM","ASCI_H",0.87,"Additive model, 50% probability of attaining ASCI_H score above 0.87.","Additive model, 50% probability of attaining ASCI_H score above 0.87.","Intermediate","Eutrophication","TN",0.402,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"HB","Hard bottom","Response","SCAM","ASCI_H",0.74,"Additive model, 50% probability of attaining ASCI_H score above 0.74.","Additive model, 50% probability of attaining ASCI_H score above 0.74.","Low","Eutrophication","TN",1.18,""
"HB","Hard bottom","Response","SCAM","CSCI",0.74,"Additive model, 50% probability of attaining CSCI score above 0.74.","Additive model, 50% probability of attaining CSCI score above 0.74.","High","Eutrophication","TN",1.423,""
"HB","Hard bottom","Response","SCAM","CSCI",0.67,"Additive model, 50% probability of attaining CSCI score above 0.67.","Additive model, 50% probability of attaining CSCI score above 0.67.","Intermediate","Eutrophication","TN",2.108,""
"HB","Hard bottom","Response","SCAM","CSCI",0.55,"Additive model, 50% probability of attaining CSCI score above 0.55.","Additive model, 50% probability of attaining CSCI score above 0.55.","Low","Eutrophication","TN",,"No threshold identified"
"SB2","Soft bottom engineered channel, two hardened sides","Response","SCAM","ASCI_D",0.93,"Additive model, 50% probability of attaining ASCI_D score above 0.93.","Additive model, 50% probability of attaining ASCI_D score above 0.93.","High","Eutrophication","TN",0.003,""
"SB2","Soft bottom engineered channel, two hardened sides","Response","SCAM","ASCI_D",0.77,"Additive model, 50% probability of attaining ASCI_D score above 0.77.","Additive model, 50% probability of attaining ASCI_D score above 0.77.","Intermediate","Eutrophication","TN",0.862,""
"SB2","Soft bottom engineered channel, two hardened sides","Response","SCAM","ASCI_D",0.64,"Additive model, 50% probability of attaining ASCI_D score above 0.64.","Additive model, 50% probability of attaining ASCI_D score above 0.64.","Low","Eutrophication","TN",1.835,""
"SB2","Soft bottom engineered channel, two hardened sides","Response","SCAM","ASCI_H",0.88,"Additive model, 50% probability of attaining ASCI_H score above 0.88.","Additive model, 50% probability of attaining ASCI_H score above 0.88.","High","Eutrophication","TN",0.348,""
"SB2","Soft bottom engineered channel, two hardened sides","Response","SCAM","ASCI_H",0.76,"Additive model, 50% probability of attaining ASCI_H score above 0.76.","Additive model, 50% probability of attaining ASCI_H score above 0.76.","Intermediate","Eutrophication","TN",1.045,""
"SB2","Soft bottom engineered channel, two hardened sides","Response","SCAM","ASCI_H",0.6,"Additive model, 50% probability of attaining ASCI_H score above 0.6.","Additive model, 50% probability of attaining ASCI_H score above 0.6.","Low","Eutrophication","TN",2.411,""
"SB2","Soft bottom engineered channel, two hardened sides","Response","SCAM","CSCI",0.96,"Additive model, 50% probability of attaining CSCI score above 0.96.","Additive model, 50% probability of attaining CSCI score above 0.96.","High","Eutrophication","TN",,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"SB2","Soft bottom engineered channel, two hardened sides","Response","SCAM","CSCI",0.75,"Additive model, 50% probability of attaining CSCI score above 0.75.","Additive model, 50% probability of attaining CSCI score above 0.75.","Intermediate","Eutrophication","TN",1.339,""
"SB2","Soft bottom engineered channel, two hardened sides","Response","SCAM","CSCI",0.64,"Additive model, 50% probability of attaining CSCI score above 0.64.","Additive model, 50% probability of attaining CSCI score above 0.64.","Low","Eutrophication","TN",2.468,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"SB1","Soft bottom engineered channel, one hardened side","Response","SCAM","ASCI_D",1.01,"Additive model, 50% probability of attaining ASCI_D score above 1.01.","Additive model, 50% probability of attaining ASCI_D score above 1.01.","High","Eutrophication","TN",,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"SB1","Soft bottom engineered channel, one hardened side","Response","SCAM","ASCI_D",0.85,"Additive model, 50% probability of attaining ASCI_D score above 0.85.","Additive model, 50% probability of attaining ASCI_D score above 0.85.","Intermediate","Eutrophication","TN",0.402,""
"SB1","Soft bottom engineered channel, one hardened side","Response","SCAM","ASCI_D",0.68,"Additive model, 50% probability of attaining ASCI_D score above 0.68.","Additive model, 50% probability of attaining ASCI_D score above 0.68.","Low","Eutrophication","TN",1.492,""
"SB1","Soft bottom engineered channel, one hardened side","Response","SCAM","ASCI_H",0.97,"Additive model, 50% probability of attaining ASCI_H score above 0.97.","Additive model, 50% probability of attaining ASCI_H score above 0.97.","High","Eutrophication","TN",,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"SB1","Soft bottom engineered channel, one hardened side","Response","SCAM","ASCI_H",0.86,"Additive model, 50% probability of attaining ASCI_H score above 0.86.","Additive model, 50% probability of attaining ASCI_H score above 0.86.","Intermediate","Eutrophication","TN",0.453,""
"SB1","Soft bottom engineered channel, one hardened side","Response","SCAM","ASCI_H",0.67,"Additive model, 50% probability of attaining ASCI_H score above 0.67.","Additive model, 50% probability of attaining ASCI_H score above 0.67.","Low","Eutrophication","TN",1.718,""
"SB1","Soft bottom engineered channel, one hardened side","Response","SCAM","CSCI",1.1,"Additive model, 50% probability of attaining CSCI score above 1.1.","Additive model, 50% probability of attaining CSCI score above 1.1.","High","Eutrophication","TN",,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"SB1","Soft bottom engineered channel, one hardened side","Response","SCAM","CSCI",1,"Additive model, 50% probability of attaining CSCI score above 1.","Additive model, 50% probability of attaining CSCI score above 1.","Intermediate","Eutrophication","TN",,"Eutrophication threshold is set for a biointegrity goal that is above reference."
