masterid,sampledate,Alkalinity_as_CaCO3,Oxygen_Dissolved,Salinity,SpecificConductivity,Temperature,Turbidity,pH,TN,TP,AFDM_g_m2,Chl-a_mg_m2,PCT_FAST,PCT_FN,PCT_HP,PCT_MAP,PCT_SAFN,XCMG,XFC_NAT_SWAMP,XSLOPE
304LOR,2008-10-14T07:00:00Z,NA,9.73,1.73,3194,14.98,4.8,8.01,0.341,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304LOR,2008-11-04T08:00:00Z,NA,9.11,0.25,497.1,13.47,23.9,7.64,0.62,0.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304LOR,2008-12-02T08:00:00Z,NA,9.83,4.39,7880,12.48,1.4,7.74,0.061,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304LOR,2009-01-06T08:00:00Z,NA,10.74,1.03,1922,8.55,0,7.8,0.8,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304LOR,2009-02-04T08:00:00Z,NA,11.72,2.33,4275,10.83,0,7.82,0.347,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304LOR,2009-03-04T08:00:00Z,NA,10.61,0.08,184.1,10.54,54.3,7.99,0.55,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304LOR,2009-04-01T07:00:00Z,NA,11.42,0.29,560.5,12.9,0,7.99,0.4,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304LOR,2009-05-06T07:00:00Z,NA,10.38,0.21,428.9,18.77,5.9,7.99,0.584,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304LOR,2009-06-03T07:00:00Z,NA,14,1.21,2254,22.65,0,8.38,0.7,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304LOR,2009-07-09T07:00:00Z,NA,9.63,15.34,25252,26.32,15.9,7.79,0.11,0.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304LOR,2009-08-06T07:00:00Z,NA,6.98,6.17,10818,23.3,21.3,7.65,0.36,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304LOR,2009-09-08T07:00:00Z,NA,9.81,6.2,10902,24.97,1.9,7.96,0.17,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304LOR,2009-10-07T07:00:00Z,NA,11.27,5.32,9425,18.6,0,8.14,0.1785,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304LOR,2009-11-09T08:00:00Z,NA,11.55,7.36,12826,14.48,0,7.81,0,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304LOR,2009-12-08T08:00:00Z,NA,15.17,1.52,2823,8.42,0.6,7.76,0.32,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304LOR,2010-01-12T08:00:00Z,NA,9.64,1.07,2010,10.96,27,7.15,0.58,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304LOR,2010-02-08T08:00:00Z,NA,12.12,0.14,296.7,10.71,23.5,7.48,0.6593,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304LOR,2010-02-23T08:00:00Z,NA,11.93,0.2,402,9.87,0,7.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304LOR,2010-03-15T07:00:00Z,NA,12.5,0.17,346.1,12.17,0,7.91,0.579,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304LOR,2010-04-13T07:00:00Z,NA,11.35,0.12,249.6,10.88,33.7,7.82,0.62,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304LOR,2010-05-12T07:00:00Z,NA,10.03,0.23,456.6,14.6,0,8.15,0.39,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304LOR,2010-06-14T07:00:00Z,NA,11.65,1.1,2061,18.61,0,8.2,1.91,0.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304LOR,2010-07-13T07:00:00Z,NA,8.62,1.61,2987,20.51,1.7,7.95,0.584,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304LOR,2010-07-20T07:00:00Z,NA,8.23,0.36,705.4,18.54,0,7.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304LOR,2010-08-09T07:00:00Z,NA,11.68,1.02,1913,18.74,0,8.32,0.1491,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304LOR,2010-09-07T07:00:00Z,NA,6.66,5.45,9650,17.93,2,7.51,0.2184,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304LOR,2010-10-05T07:00:00Z,NA,10.66,2.87,5215,17.21,0,8.12,0,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304LOR,2010-11-01T07:00:00Z,NA,9.17,1.49,2769,15.64,8.5,7.5,1.7,0.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304LOR,2010-12-07T08:00:00Z,NA,10.54,0.82,1541,10.51,3.2,8.16,0.33,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304LOR,2011-01-19T08:00:00Z,NA,11.8,0.23,465,10.58,5.3,7.77,0.5,0.098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304LOR,2011-02-17T08:00:00Z,NA,11.21,0.1,213.6,8.58,47.8,7.56,0.394,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304LOR,2011-03-30T07:00:00Z,NA,10.58,0.13,270.5,13.26,16.5,7.75,0.3593,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304LOR,2011-04-28T07:00:00Z,NA,13.63,0.21,424.4,15.02,6.7,8.33,0.119,0.086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304LOR,2011-05-26T07:00:00Z,NA,10.43,0.23,452.4,15.67,4.6,8.15,0.36,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304LOR,2011-06-28T07:00:00Z,NA,11.03,0.2,409.4,16.91,5.3,7.86,0.4,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304LOR,2011-07-27T07:00:00Z,NA,11.44,0.33,638,21.01,5.6,7.93,0.39,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304LOR,2011-08-17T07:00:00Z,NA,10.13,1.15,2151,21.76,5.4,7.34,0.2355,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304LOR,2011-09-28T07:00:00Z,NA,8.1,4.85,8645,20.21,1.7,7.29,0.01,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304LOR,2011-10-27T07:00:00Z,NA,9.9,1.95,3573,15.67,3.5,7.24,1.0081,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304LOR,2011-11-17T08:00:00Z,NA,11.57,0.57,1084,12.02,6,7.4,0.76,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304LOR,2011-12-14T08:00:00Z,NA,10.95,1.1,2062,9.87,1.2,7.52,0.5692,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304LOR,2012-01-18T08:00:00Z,NA,11.09,2.84,5164,8.1,1.7,7.3,0.291,0.096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304LOR,2012-02-14T08:00:00Z,NA,11.43,0.9,1692,11.21,4,7.35,0.9824999999999999,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304LOR,2012-03-20T07:00:00Z,NA,11.53,0.17,354.3,12.57,12.1,7.5,0.63,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304LOR,2012-04-10T07:00:00Z,NA,10.8,0.21,417.4,11.62,12.8,7.69,0.49,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304LOR,2012-05-08T07:00:00Z,NA,13.78,0.27,524.3,17.79,2.2,9.03,0.387,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304LOR,2012-06-26T07:00:00Z,NA,9.55,1.61,2976,22.77,3.3,6.5,0.47,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304LOR,2012-07-18T07:00:00Z,NA,10.66,2.02,3710,21.52,0.1,7,0.011,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304LOR,2012-08-15T07:00:00Z,NA,9.64,0.84,1579,21.32,0,7.37,0.692,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304LOR,2012-09-19T07:00:00Z,NA,11.99,8.89,15247,20.95,4.2,6.93,NA,0.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304LOR,2012-10-17T07:00:00Z,NA,8.36,0.61,1157,18.56,1.6,7.31,0.4,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304LOR,2012-11-13T08:00:00Z,NA,10.13,4.41,7974,13.21,2.1,6.64,0.26,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304LOR,2012-12-11T08:00:00Z,NA,10.38,0.6,1141,10.92,0.9,7.77,0.81,0.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304LOR,2013-01-22T08:00:00Z,NA,12.38,0.24,483.9,8.44,1,8.17,0.71,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304LOR,2013-02-19T08:00:00Z,NA,12.55,0.18,363,10.04,23,7.64,0.892,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304LOR,2013-03-18T07:00:00Z,NA,12.26,0.38,756,14.16,0,7.63,0.334,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304LOR,2013-04-23T07:00:00Z,NA,9.44,0.25,485,17.02,0,7.7,0.411,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304LOR,2013-05-21T07:00:00Z,NA,8.71,0.61,1129,19.57,1.7,7.62,0.62,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304LOR,2013-06-18T07:00:00Z,NA,8.67,2.89,5302,12.83,2.8,8.05,0.576,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304LOR,2013-07-24T07:00:00Z,NA,7.75,1.52,2823,22.43,2.2,7.6,0,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304LOR,2013-08-14T07:00:00Z,NA,10.16,1.73,3191,22.93,2.3,8.1,0,0.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304LOR,2013-09-18T07:00:00Z,NA,12.01,4.59,8223,21.42,0,8.32,0.4,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304LOR,2013-10-17T07:00:00Z,NA,5.55,13.74,22875,17.64,21.8,7.12,0.36,0.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304LOR,2013-11-18T08:00:00Z,NA,10.14,12.23,20526,12.23,0.3,7.28,4.52,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304LOR,2013-12-11T08:00:00Z,NA,10.03,7.1,12414,10.66,0,7.33,2.69,0.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304LOR,2014-01-29T08:00:00Z,NA,9.17,10.04,17098,16.16,0.6,7.36,0.19,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304LOR,2014-02-19T08:00:00Z,NA,11.93,2.81,5052,16.69,3.9,7.21,0.416,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304LOR,2014-03-19T07:00:00Z,NA,10.34,2.39,4340,18.76,0,7.14,0.51,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304LOR,2014-04-09T07:00:00Z,NA,11.26,0.9,1655,20.28,0.1,7.64,0.339,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304LOR,2014-05-14T07:00:00Z,NA,11.72,1.89,3496,22.9,0,7.91,0.45,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304LOR,2014-06-18T07:00:00Z,NA,7.91,5.2,9226,23.38,0.11,8.39,2,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304LOR,2014-07-09T07:00:00Z,NA,7.25,5.2,9236,26.44,0.17,7.43,3.28,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304LOR,2014-08-20T07:00:00Z,NA,12.96,3.43,5999,23.43,1.1,8.14,0.5,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304LOR,2014-09-17T07:00:00Z,NA,11.24,7.85,13129,24.87,3.1,8.04,0.59,0.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304LOR,2014-10-16T07:00:00Z,NA,11.3,6.65,11644,21.38,0.5,7.97,1.03,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304LOR,2014-11-12T08:00:00Z,NA,8.52,11.34,19154,16.8,0,6.8,0.66,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304LOR,2014-12-11T08:00:00Z,NA,9.38,0.73,1375,14.32,0,7.48,0.453,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304LOR,2015-01-22T08:00:00Z,NA,11.31,1.55,2876,10.04,2.9050000000000002,7.34,1.2,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304LOR,2015-02-19T08:00:00Z,NA,9.3,0.61,1155,12.78,0.12,7.93,0.79,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304LOR,2015-03-19T07:00:00Z,NA,8.17,7.05,12302,14.37,2.9,7.29,0,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304LOR,2015-04-15T07:00:00Z,NA,8.11,3.61,6514,13.81,0,7.32,0.57,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304LOR,2015-05-14T07:00:00Z,NA,12.11,2.48,4537,17.39,0.1,8.53,0,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304LOR,2015-06-11T07:00:00Z,NA,5.39,3.86,6967,21.15,6.5,7.4,0.74,0.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304LOR,2015-07-09T07:00:00Z,NA,8.6,7.53,13045,25.59,2.1,8.01,0.5,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304LOR,2015-08-20T07:00:00Z,NA,12.25,5.74,10162,24.49,0,8.51,1.4,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304LOR,2015-09-17T07:00:00Z,NA,16.13,4.54,8114,21.96,10.4,9.02,0,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304LOR,2015-10-15T07:00:00Z,NA,16.45,3.64,6646,20.94,0.42,8.9,0,0.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304LOR,2015-11-12T08:00:00Z,NA,7.51,7.8,13509,11.84,2,7.46,1.6,0.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304LOR,2015-12-17T08:00:00Z,NA,10.48,2.64,4820,9.54,0.8,7.49,0,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304LOR,2017-01-26T08:00:00Z,NA,11.35,0.12,266.5,11.45,20,7.69,0.8,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304LOR,2017-02-23T08:00:00Z,NA,11.17,0.11,241.1,11.01,48,7.63,0,0.055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304LOR,2017-03-23T07:00:00Z,NA,10.82,0.12,282.2,15.15,22,8.12,0,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304LOR,2017-04-27T07:00:00Z,NA,12.41,0.17,373.8,16.01,2.8,NA,0,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304LOR,2017-05-25T07:00:00Z,NA,10.32,0.16,367.7,15.53,3.3,8.48,0,0.106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304LOR,2017-06-29T07:00:00Z,NA,NA,NA,NA,NA,2.6,NA,0.69,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304LOR,2017-07-27T07:00:00Z,NA,12.18,1.29,2539.1,23.7,1.3,8.81,0,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304LOR,2017-08-24T07:00:00Z,NA,7.23,5.9,10462.6,22.3,2.6,7.8,0.59,0.16149999999999998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304LOR,2017-09-28T07:00:00Z,NA,9.74,0.92,1856.8,23.17,2,8.21,0,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304LOR,2017-10-31T07:00:00Z,NA,9.72,1.43,2772.3,16.94,1.7,7.16,0,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304LOR,2017-11-28T08:00:00Z,NA,11.12,0.49,1008.1,14.68,2.1,8.4,0,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304LOR,2018-01-18T08:00:00Z,NA,7.34,12.2,20250.3,13.15,NA,7.7,0.94,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304LOR,2018-02-15T08:00:00Z,NA,12.03,0.83,1659.2,10.53,NA,8.1,0.81,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304LOR,2018-03-15T07:00:00Z,NA,11.16,0.15,332.1,10.72,NA,8.2,0.65,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304LOR,2018-05-17T07:00:00Z,NA,13.93,1.61,3091,17.79,NA,8.3,0,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304LOR,2018-06-21T07:00:00Z,NA,10.6,1.38,8703.7,21.11,NA,8.1,0,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304LOR,2018-07-19T07:00:00Z,NA,5.84,1.38,2705,21.75,NA,7.7,0,0.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304LOR,2018-08-30T07:00:00Z,NA,7.49,0.99,1965.5,19.58,2.1,7.49,0.63,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304LOR,2018-09-18T07:00:00Z,NA,9.47,1.77,3270,16.96,0.6,7.86,1.2,0.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304LOR,2018-10-30T07:00:00Z,NA,9.14,5.2,9210.2,16.33,1.8,7.65,0,0.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304LOR,2018-11-27T08:00:00Z,NA,7.77,15.78,25572.8,13.12,2.1,7.35,0.52,0.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304LOR,2018-12-19T08:00:00Z,NA,10.36,0.83,1626.2,12.46,8.9,7.61,1,0.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304LOR,2019-01-17T08:00:00Z,NA,10.69,0.07,161.8,12.63,330,7.66,1.4,0.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304LOR,2019-02-05T08:00:00Z,NA,11.04,0.1,224.95,10.8,50,7.65,0.76,0.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304LOR,2019-03-07T08:00:00Z,NA,10.81,0.1,233.25,11.74,55,7.6,0.52,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304LOR,2019-04-11T07:00:00Z,NA,13.72,0.21,456.45,13.77,2.1,8.08,0,0.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304LOR,2019-05-14T07:00:00Z,NA,11.25,0.19,410.6,17.33,1.7,8.09,0,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304LOR,2019-06-06T07:00:00Z,NA,10.4,0.5,1015.5,27.8,3.2,7.75,0,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304LOR,2019-07-08T07:00:00Z,NA,12.97,0.53,1041.6,19.43,NA,8.22,0,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304LOR,2019-08-29T07:00:00Z,NA,7.49,3.6,6044,19.61,3.3,7.6,0.96,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304LOR,2019-09-19T07:00:00Z,NA,8.08,1.34,2250,18.02,2.9,7.59,1.3,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304LOR,2019-10-17T07:00:00Z,NA,11.23,0.34,655.7666666666667,14.26,1.2,7.94,0,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304LOR,2019-11-14T08:00:00Z,NA,8.33,7.76,13730.5,13.3,3.2,7.48,0,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304LOR,2019-12-19T08:00:00Z,NA,10.87,0.14,283.2,11.41,28.1,7.55,1.2,0.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304LOR,2020-01-07T08:00:00Z,NA,11.7,0.79,1487,8.73,2.8,7.47,0.6,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304LOR,2020-02-06T08:00:00Z,NA,11.55,1.17,2187,9.16,0.2,7.49,0.225,0.097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304LOR,2020-03-05T08:00:00Z,NA,9.5,0.74,1408,12.74,2.2,7.74,0,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304PS0006,2008-06-04T07:00:00Z,224,7.26,0.3,561,12.7,4.18,8.4,0.6165,0.277,4.835,3.675,61,0,6,NA,80,167,52.1,1.5
304PS0006,2008-06-17T07:00:00Z,240,8.98,0.2,393.7,15.9,1.7,8.43,0.558,0.289,8.6,7.63,70,1,0,NA,84,217,144.9,1
304PS0018,2008-06-04T07:00:00Z,172,8.85,0.2,388,13,0.35,8.3,0.0052,0.1765,5.64,NA,39,0,10,NA,35,107,48.9,6.5
304PS0146,2012-06-18T07:00:00Z,170,8.38,0.1,150.2,14.1,12.66,7.71,0.914,0.739,12.7,8.02,3,41,0,2,70,97,38.2,0.8
304PS0146,2012-07-11T07:00:00Z,220,7.56,0.25,514,13.84,4.99,7.38,0.565,0.438,64,10.1,15,9,0,2,44,132,66.7,2.1
304PS0194,2012-06-18T07:00:00Z,100,10.5,0.1,290.5,15.9,1.55,8.16,0.606,0.0797,7.19,9.74,28,0,0,0,19,134,41.3,3.9
304PS0253,2014-05-22T07:00:00Z,240,9.69,0.3,596,13.1,0.91,7.9,0.146,0.16,6.42,15.3,30,0,0,0,6,155,43.7,3.1
304PS0253,2014-06-05T07:00:00Z,240,9.06,0.3,598,13,0,7.5,0.0774,0.173,12.7,32.8,19,0,0,0,12,149,46.2,3.2
304PS0274,2014-06-04T07:00:00Z,NA,8.18,0.2,488.8,17.8,1.36,8,0.676,0.389,5.09,23.9,29,0,0,5,42,181,25.9,0.5
304RIV,2005-01-20T08:00:00Z,NA,11.47,0.15,309.1,9.93,2.4,7.72,0.6,0.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304RIV,2005-02-16T08:00:00Z,NA,10.76,0.11,226.2,11.95,30,7.71,0.75,0.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304RIV,2005-03-17T08:00:00Z,NA,12.02,0.18,362.5,11.68,1.4,8.18,0.22,0.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304RIV,2005-04-13T07:00:00Z,NA,11.29,0.15,316.6,12.53,2,7.98,0.17,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304RIV,2005-05-11T07:00:00Z,NA,10.36,0.16,333.4,15.41,1.1,8.33,0.39,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304RIV,2005-06-08T07:00:00Z,NA,11,0.17,348.7,15.12,1,8.22,0.39,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304RIV,2005-07-13T07:00:00Z,NA,9.79,0.19,382.6,21.33,1.1,8.42,0.4,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304RIV,2005-08-10T07:00:00Z,NA,11.33,0.17,348,20.15,3.7,8.45,0.43,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304RIV,2005-08-24T07:00:00Z,NA,8.85,NA,389,18.34,NA,8.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304RIV,2005-08-25T07:00:00Z,NA,8.33,NA,389,17.33,NA,8.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304RIV,2005-09-07T07:00:00Z,NA,10.61,0.19,376.3,17.96,0.1,8.41,0.553,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304RIV,2005-10-05T07:00:00Z,NA,11.35,0.19,384.7,14.95,6.4,8.24,0.58,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304RIV,2005-11-02T08:00:00Z,NA,12.22,0.19,387.9,13.05,3,8.52,0.36,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304RIV,2005-11-30T08:00:00Z,NA,11.11,0.19,382.6,10.67,0.1,8.11,0.53,0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304RIV,2006-01-04T08:00:00Z,NA,11.26,0.1,216,11.94,63.9,7.8,0.75,0.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304RIV,2006-02-01T08:00:00Z,NA,11.51,0.15,306.8,10.91,6.7,8.16,0.31,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304RIV,2006-03-08T08:00:00Z,NA,11.49,0.11,241.6,10.25,26.5,7.86,0.41,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304RIV,2011-02-17T08:00:00Z,NA,10.98,0.11,234.5,8.3,98.8,7.62,0.44,0.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304RIV,2011-02-24T08:00:00Z,NA,12.01,0.15,299.4,9.04,0,7.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304RIV,2011-03-30T07:00:00Z,NA,10.61,0.12,259.8,12.63,18.2,8.01,0.2985,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304RIV,2011-04-28T07:00:00Z,NA,12.62,0.17,354.4,13.64,9.5,8.45,0.2602,0.091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304RIV,2011-05-26T07:00:00Z,NA,10.54,0.17,354.6,13.63,2,8.06,0.3,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304RIV,2011-06-28T07:00:00Z,NA,10.25,0.17,345.4,16.15,1.9,7.52,0.45,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304RIV,2011-07-27T07:00:00Z,NA,11.05,0.18,362.6,18.49,1.3,8.14,0.39,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304RIV,2011-08-17T07:00:00Z,NA,11.11,0.18,369.2,18.67,1.5,7.98,0.3982,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304RIV,2011-09-22T07:00:00Z,NA,9.05,0.19,375,15.72,0,7.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304RIV,2011-09-28T07:00:00Z,NA,9.88,0.19,392.2,16.51,0,7.52,0.5649,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304RIV,2011-10-27T07:00:00Z,NA,11.24,0.19,391.4,12.4,0.8,7.21,0.4426,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304RIV,2011-11-17T08:00:00Z,NA,12.38,0.19,382.9,10.13,0.1,7.67,0.56,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304RIV,2017-01-26T08:00:00Z,NA,11.88,0.12,266.2,9.92,9.8,7.64,0.64,0.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304RIV,2017-02-23T08:00:00Z,NA,11.25,0.1,237.5,10.58,48,7.5,0.52,0.088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
