"MasterID","SampleDate","Replicate","New_Lat","New_Long","PSA2","PSA6c","DevSet","SelectedSample","Nitrogen_Total_mgPerL","Phosphorus_as_P_mgPerL","Chlorophyll_a_mgPerm2","Ash_Free_Dry_Mass_mgPercm2","PCT_MAP","CSCI","ASCI_D","ASCI_H"
"404S06456","5/14/2009",1,34.06394,-118.5872,"Arid","SC","Cal","Selected",0.295,0.02,77.77,4.211,40,0.987516913,0.683674607,0.815887648
"404S08846","6/22/2010",1,34.05444,-118.5817,"Arid","SC","Cal","Selected",0.207,0.0214,256.88,13.74,71,0.961162089,0.759004128,0.980993302
"404S11406","5/11/2009",1,34.0487,-118.6899,"Arid","SC","Cal","Selected",0.659,0.389,566.1,9.245,70,0.625963184,0.549734452,0.698619029
"404S16168","6/23/2010",1,34.06769,-118.707,"Arid","SC","Val","Selected",0.275,0.0815,63.99,4.016,72,0.603048702,0.706732521,0.875209834
"404S17266","5/19/2009",1,34.1068,-118.712,"Arid","SC","Val","Selected",8,0.172,101.71,6.139,50,0.692896291,0.561297985,0.576806904
"404S23297","6/19/2013",1,34.05003,-118.581,"Arid","SC","Val","Selected",0.154,0.0294,8.55,5.71,5,0.728734689,0.758870189,0.762187875
"404S25298","6/20/2012",1,34.0456312,-118.68751,"Arid","SC","Val","Selected",0.293,0.438,216,2.23,48,0.719497394,0.482469876,0.51992562
"404S32468","6/26/2012",1,34.0998989,-118.72305,"Arid","SC","Val","Selected",0.498,0.0647,51.5,3.5,18,0.64589824,0.776640216,0.929121088
"404S34230","6/19/2013",1,34.06908,-118.5868,"Arid","SC","Cal","Selected",0.128,0.0383,30,10.8,19,0.823747151,0.899049608,0.908042395
"404S35418","6/25/2012",1,34.0826182,-118.70858,"Arid","SC","Cal","Selected",0.794,0.0724,107,7.45,6,0.814871223,0.470241667,0.661707809
"404S35418","6/25/2012",2,34.0826182,-118.70858,"Arid","SC","Cal","Selected",0.794,0.0724,107,7.45,6,0.84445435,0.62579166,0.818040738
"404S45622","6/3/2013",1,34.06151,-118.5852,"Arid","SC","Val","Selected",0.183,0.0354,18.6,10.2,14,0.994819604,0.840200928,0.741839441
"404S45622","6/3/2013",2,34.06151,-118.5852,"Arid","SC","Val","Selected",0.183,0.0354,18.6,10.2,14,0.768837759,0.73622152,0.808883459
"404S45745","6/18/2013",1,34.05906,-118.9337,"Arid","SC","Cal","Selected",0.0848,0.01,56.6,7.12,66,0.860828674,1.125402861,1.169830141
"504PS0083","6/17/2009",1,40.01978,-122.3708,"Arid","CH","Cal","Selected",0.0856,0.0417,0,1.58,7,0.70283645,0.99799343,0.999143717
"505PS0940","9/26/2011",1,41.22713,-122.009,"Arid","DM","Cal","Selected",0.0637,0.0189,8.33,0.636,1,0.985347152,0.795604493,0.885239111
"506PS0003","7/28/2009",1,40.94363,-122.3359,"Wet","NC","Cal","Selected",0.115,0.0463,5.86,0.562,0,1.05653066,0.988295535,0.935975336
"506PS0003","9/14/2010",1,40.94363,-122.3359,"Wet","NC","Cal","NotSelected",0.149,0.0152,25.8,0.863,0,0.906526972,0.876857408,0.887980341
"507PS0122","6/29/2009",1,40.39466,-121.9362,"Arid","CH","Cal","Selected",0.114,0.0944,16.11,3.175,59,1.004487292,0.776240408,0.793591333
"507PS0142","8/4/2010",1,40.67101,-122.1395,"Arid","CH","Val","Selected",0,0.0109,26.69,1.338,3,0.582195077,1.083859464,1.16772177
"507PS0314","9/8/2011",1,40.42549,-121.9926,"Arid","CH","Cal","Selected",0.128,0.0644,4.94,0.185,3,1.064420702,0.891857063,0.898733514
"508PS0298","7/20/2011",1,40.53447,-122.2338,"Arid","CH","Cal","Selected",0.152,0.0377,8.87,0.938,61,0.735430988,0.827477113,0.814606051
"508PS0298","7/20/2011",2,40.53447,-122.2338,"Arid","CH","Cal","Selected",0.152,0.0377,8.87,0.938,61,0.647946482,0.888870146,0.926162439
"508PS0458","7/1/2013",1,40.49393,-122.4476,"Arid","CH","Cal","Selected",0.12,0.0085,1.6,0.292,2,1.072558862,0.798054077,0.951752393
"509BCCBPW","7/9/2009",1,39.8682,-121.7074,"Arid","CH","Cal","Selected",0.0722,0.0644,48.54,0.888,17,1.095702756,0.919307995,0.953819976
"509DRCBPC","8/29/2011",1,40.16612,-121.6005,"Wet","SN","Val","Selected",0.065,0.0297,2.16,0.15,6,1.117135001,0.860740617,0.86681162
"509MLC145","8/6/2013",1,40.28931,-121.5682,"Wet","SN","Cal","Selected",0.0579,0.0372,5,0.381,7,1.067513709,0.703885574,0.787833106
"509PS0049","8/26/2010",1,40.26307,-121.4078,"Wet","SN","Cal","Selected",0.0473,0.0204,29.29,1.905,33,1.122689445,0.759088463,0.785948549
"509PS0049","9/13/2010",1,40.26307,-121.4078,"Wet","SN","Cal","NotSelected",0.0681,0.0209,22.11,16.885,36,1.064635029,0.807036942,0.818148836
"513PS0088","8/17/2009",1,38.98441,-122.5222,"Arid","CH","Cal","Selected",0.211,0.0253,2.29,0.662,23,0.777998237,0.594875838,0.654666199
"513PS0088","8/17/2009",2,38.98441,-122.5222,"Arid","CH","Cal","Selected",0.211,0.0253,2.29,0.662,23,0.819106808,0.912307616,0.89372046
"513PS0248","7/27/2011",1,39.21674,-122.729,"Arid","CH","Cal","Selected",0.0982,0.0104,38.6,0.519,25,1.049832532,0.952185183,1.101269083
"514FC1215","5/27/2014",1,38.97275,-121.2915,"Arid","CH","Cal","Selected",0.54,0.028,13.4,0.545,NA,0.872039136,0.783583075,0.701949928
"514PCAPCR","10/29/2014",1,38.92412,-120.4817,"Wet","SN","Cal","Selected",0,0.0058,14.1,0.436,NA,1.080208428,1.063925091,1.077372876
"514PCASMR","10/29/2014",1,38.89606,-120.5497,"Wet","SN","Cal","Selected",0,0.0046,3.51,0.417,NA,1.200300347,1.028190565,1.052522364
"514PS0099","7/18/2012",1,38.96,-120.484,"Wet","SN","Val","Selected",0.082,0.0052,22.1,0.832,7,1.108966203,1.077815507,1.148804155
"514PS0131","7/28/2014",1,38.70484,-120.2295,"Wet","SN","Val","Selected",0.193,0.019,2.99,0.393,0,0.988863364,0.917101436,0.933862459
"515PS0430","7/7/2011",1,39.0507,-121.3852,"Arid","CV","Cal","Selected",0.376,0.024,20.42,0.794,34,0.459593495,1.153411113,1.051829798
"515PS0430","7/7/2011",2,39.0507,-121.3852,"Arid","CV","Cal","Selected",0.376,0.024,20.42,0.794,34,0.481937854,1.093764019,0.952062789
"516PS0287","9/21/2011",1,39.04554,-121.115,"Arid","CH","Val","Selected",0.119,0.0218,22.28,1.259,7,0.554858387,0.77699049,0.843856591
"516PS0324","6/28/2012",1,39.10857,-121.2918,"Arid","CH","Cal","Selected",0.355,0.0145,19.7,1.39,1,1.052660517,0.737853917,0.713866836
"516PS0324","6/28/2012",2,39.10857,-121.2918,"Arid","CH","Cal","Selected",0.355,0.0145,19.7,1.39,1,1.045350411,0.730455265,0.609208412
"516PS0324","7/31/2012",1,39.10857,-121.2918,"Arid","CH","Cal","NotSelected",0.278,0.0112,33.8,1.63,0,1.025735279,1.005369459,0.915385916
"516PS0516","8/6/2013",1,39.0244,-121.2308,"Arid","CH","Cal","Selected",0.223,0.0139,4.05,0.245,43,0.853374736,0.982032632,0.975953612
"517FCA139","6/18/2014",1,39.59864,-120.998,"Wet","SN","Cal","Selected",0,0.0069,10.4,1.76,NA,0.973782853,0.971510332,1.000936702
"517PLC130","7/28/2013",1,39.59001,-120.8007,"Wet","SN","Cal","Selected",0.0408,0.0084,14.2,0.292,0,1.103933005,1.128440826,1.026854619
"517PS0030","7/22/2009",1,39.3182,-120.4606,"Wet","SN","Cal","Selected",0.105,0.0134,5.8,0.746,0,0.602656707,0.787972057,0.757004365
"517PS0039","7/1/2009",1,39.49976,-121.2865,"Wet","SN","Cal","Selected",0.042,0.0581,61.04,4.091,1,0.709935799,0.815491671,0.778333059
"517PS0061","9/8/2010",1,39.68476,-120.7497,"Wet","SN","Cal","Selected",0.0811,0,4.87,0.457,2,0.93246004,0.99831722,1.088662321
"517PS0132","7/1/2009",1,39.29898,-121.2999,"Arid","CH","Val","Selected",0.253,0.0492,6.93,0.855,1,0.841101554,0.932641342,0.933834336
"518FC1060","9/18/2014",1,40.02552,-120.9641,"Wet","SN","Cal","Selected",0.0686,0.0101,97.1,2.17,NA,0.566676371,0.779175537,0.700328687
"518PS0029","6/30/2009",1,40.06271,-120.6296,"Wet","SN","Cal","Selected",0.22,0.0486,70.06,3.575,47,0.851038251,0.541979731,0.669335184
"518PS0045","7/21/2009",1,40.00329,-120.9341,"Wet","SN","Val","Selected",0.0233,0.0199,2.19,0.483,1,1.098966919,0.785840148,0.887120624
"518PS0089","8/1/2012",1,39.92136,-120.4049,"Wet","SN","Cal","Selected",0.0531,0.0248,96.4,47.8,43,0.287484916,0.772705078,0.696695216
"518PS0089","9/25/2012",1,39.92136,-120.4049,"Wet","SN","Cal","NotSelected",0.101,0.0384,124,7.32,27,0.477292987,0.736508225,0.817887953
"518PS0125","6/18/2013",1,39.80922,-120.6564,"Wet","SN","Cal","Selected",0.135,0.0291,10.1,0.649,30,1.010176417,0.747762474,0.759394394
"518RCC169","7/29/2013",1,39.98886,-120.5694,"Wet","SN","Cal","Selected",0.0459,0.0458,38,3.4,29,0.366532443,0.770668768,0.87517726
"518WLCBCP","9/25/2012",1,40.0504679,-120.37073,"Wet","SN","Cal","Selected",0.0288,0.0194,31.4,2.07,17,1.115051233,0.947175051,0.954030683
"519PS0198","7/15/2009",1,38.46271,-121.3113,"Arid","CV","Cal","Selected",0.952,0.92,21.23,2.026,45,0.413256926,0.868323713,0.869400419
"519PS0198","7/15/2009",2,38.46271,-121.3113,"Arid","CV","Cal","Selected",0.952,0.92,21.23,2.026,45,0.377019527,0.618883832,0.708880402
"519PS0278","7/7/2010",1,38.47667,-121.2914,"Arid","CV","Val","NotSelected",1.33,1.17,131.31,3.896,25,0.229180689,1.001328677,0.955960953
"519PS0278","8/5/2010",1,38.47667,-121.2914,"Arid","CV","Val","Selected",1.08,1.08,10.93,0.802,9,0.245254031,0.806780335,0.700681527
"520PS0135","7/29/2009",1,39.64689,-121.6394,"Arid","CH","Cal","Selected",0.292,0.0823,12.26,0.67,0,0.903182385,0.916312846,0.866836284
"520PS0135","7/29/2009",2,39.64689,-121.6394,"Arid","CH","Cal","Selected",0.292,0.0823,12.26,0.67,0,0.886075702,0.776695772,0.778447284
"520PS0199","8/23/2010",1,39.71024,-121.7314,"Arid","CH","Cal","Selected",0.0756,0.019,31.46,1.919,52,0.926646554,0.975465889,0.9904476
"520PS0199","8/23/2010",2,39.71024,-121.7314,"Arid","CH","Cal","Selected",0.0756,0.019,31.46,1.919,52,1.010858264,0.929883191,0.960686456
"521LCCBSR","7/6/2010",1,39.88531,-121.6503,"Arid","CH","Cal","Selected",0.0699,0.0181,8.77,0.48,0,1.048634403,1.055582742,1.097368681
"521PS0663","6/16/2014",1,39.7588,-121.6764,"Arid","CH","Val","Selected",0.0568,0.0089,16.9,0.361,32,0.833611591,0.860283188,0.959866928
"522PS0430","9/20/2012",1,39.37695,-122.6454,"Arid","CH","Val","Selected",0.123,0.0081,46.1,1.04,41,0.999383105,0.820445195,0.752963174
"522PS0643","9/4/2013",1,39.37285,-122.6101,"Arid","CH","Cal","Selected",0.0281,0.0077,6.36,0.231,11,1.080699349,0.908422644,0.868572985
"523PS0222","9/9/2010",1,39.85986,-122.6392,"Arid","CH","Cal","Selected",0.166,0,38.23,2.023,36,0.701731597,1.207797126,1.163183118
"523PS0414","8/6/2012",1,40.02683,-122.6492,"Arid","CH","Cal","Selected",1.47,0.0139,18.3,0.842,24,0.936016214,0.709046313,0.771407786
"524PS0202","9/20/2012",1,40.69072,-122.6402,"Wet","NC","Cal","Selected",0.0726,0.0265,46.7,2.11,19,1.037799409,0.837979491,0.675824063
"524PS0202","9/20/2012",2,40.69072,-122.6402,"Wet","NC","Cal","Selected",0.0726,0.0265,46.7,2.11,19,0.961816495,0.881049139,0.787461957
"524PS0394","7/19/2012",1,40.58555,-122.5513,"Arid","CH","Cal","Selected",0.102,0.0109,5.92,0.319,1,0.938137392,0.76065144,0.722956122
"526ESCAMC","8/19/2014",1,41.1753,-120.2059,"Arid","DM","Cal","Selected",0.118,0.0243,10.3,0.366,1,1.002369207,1.052055962,0.998950041
"526ESCAMC","8/20/2012",1,41.1753,-120.2059,"Arid","DM","Cal","NotSelected",0.128,0.0246,17.5,0.279,0,1.006371248,1.102536313,1.084343777
"526PS0344","9/2/2009",1,41.4241,-121.0035,"Arid","DM","Val","Selected",0.364,0.0215,19.42,2.377,18,0.837503198,1.075312292,1.046049891
"526PS0356","8/11/2009",1,41.17727,-121.1628,"Arid","DM","Cal","Selected",0.804,0.116,20.87,1.093,8,0.360144078,0.662451882,0.730650002
"526PS0440","9/2/2009",1,41.23104,-120.3982,"Arid","DM","Val","Selected",0.484,0.0689,5.01,0.563,1,1.059824841,0.747647627,0.864390864
"526PS0504","9/2/2009",1,41.18091,-120.2097,"Arid","DM","Val","Selected",0.15,0.0286,6.58,0.637,12,1.108769647,0.984679886,0.962683203
"526PS0504","9/2/2009",2,41.18091,-120.2097,"Arid","DM","Val","Selected",0.15,0.0286,6.58,0.637,12,1.058344085,0.796754026,0.950463266
"526PS0764","8/25/2010",1,40.89499,-121.944,"Arid","DM","Cal","Selected",0.0398,0.0156,11.54,1.082,44,1.138531014,1.140272857,1.190874654
"526PS0808","8/2/2010",1,41.49096,-120.7907,"Arid","DM","Cal","Selected",1.02,0.109,3.8,1.429,7,0.580936944,1.007978854,0.816937991
"526PS0948","7/12/2011",1,41.20773,-120.9331,"Arid","DM","Cal","Selected",0.391,0.0712,5.27,1.394,5,1.005077656,0.829273464,0.763556103
"526PS0948","7/12/2011",2,41.20773,-120.9331,"Arid","DM","Cal","Selected",0.391,0.0712,5.27,1.394,5,1.008132982,0.993636389,1.001421733
"526PS1036","7/13/2011",1,41.55121,-120.4541,"Arid","DM","Cal","Selected",0.36,0.0531,0,0.302,21,0.933736902,0.999938976,0.948040805
"527PS0388","9/2/2009",1,41.82635,-120.2955,"Arid","DM","Cal","Selected",0.088,0.022,6.56,0.509,22,1.20071565,0.895168503,0.99063241
"527PS0388","9/2/2009",2,41.82635,-120.2955,"Arid","DM","Cal","Selected",0.088,0.022,6.56,0.509,22,1.149734199,0.925344487,0.969243412
"532PS0050","8/31/2010",1,38.54081,-119.8885,"Wet","SN","Cal","Selected",0.0987,0.0118,2.26,0.424,0,1.032184531,1.03731043,1.130058227
"532PS0071","9/21/2011",1,38.4902,-120.3967,"Wet","SN","Cal","NotSelected",0.0374,0.0258,17.32,0.462,1,1.109564524,0.612784573,0.792127075
"532PS0071","10/12/2011",1,38.4902,-120.3967,"Wet","SN","Cal","Selected",0.0615,0.0346,25.22,1.595,0,1.135988401,0.591119678,0.744585633
"533FC1043","6/4/2014",1,38.18245,-120.701,"Arid","CH","Val","Selected",0.137,0.0149,15.6,0.606,NA,0.280199183,0.962229699,0.948839147
"534CYCANB","6/2/2009",1,38.05507,-120.4771,"Arid","CH","Cal","Selected",0.219,0.021,37.74,1.353,0,1.020365033,0.652630776,0.759072363
"534PS0043","7/29/2009",1,38.16502,-120.091,"Wet","SN","Cal","Selected",0.0804,0.0447,0,0.536,7,1.055012813,0.916235958,1.040729281
"534PS0043","7/29/2009",2,38.16502,-120.091,"Wet","SN","Cal","Selected",0.0804,0.0447,0,0.536,7,0.980548793,0.941653402,1.009788542
"534PS0114","9/12/2012",1,38.38811,-120.0618,"Wet","SN","Cal","Selected",0.19,0.0066,8.06,3.41,1,0.699824655,0.908958994,1.092172573
"535PS0265","8/20/2009",1,37.64401,-120.6939,"Arid","CV","Cal","Selected",0.223,0.0303,19.26,0.801,10,0.796975917,0.964119884,1.038326001
"536STR127","6/17/2013",1,37.80924,-119.9632,"Wet","SN","Cal","Selected",0.0593,0.0105,6.25,1.06,0,0.909301196,0.643429934,0.79540729
"537PS0386","7/16/2012",1,37.66011,-119.9949,"Arid","CH","Cal","Selected",0.332,0.0348,33.2,1.65,8,0.549300349,0.820463815,0.837130579
"539CCRARR","6/30/2010",1,37.26041,-119.9463,"Arid","CH","Val","Selected",0,0.0369,16.17,0.758,16,0.736402025,1.027761166,1.068723523
"539PS0146","7/27/2010",1,37.19314,-119.8171,"Arid","CH","Cal","Selected",0.132,0.0318,2.94,0.613,3,0.744257801,0.963813019,1.040520545
"540CDC136","7/24/2013",1,37.39722,-119.0014,"Wet","SN","Cal","Selected",0.0375,0,9.67,0.819,2,0.918396695,1.170118699,1.089596503
"540MSJ132","7/18/2013",1,37.59602,-119.0922,"Wet","SN","Cal","Selected",0.0361,0.0108,7.89,0.696,9,1.107902217,0.94220885,0.936498915
"540PS0258","8/31/2011",1,37.16367,-119.3519,"Arid","CH","Cal","Selected",0.0645,0.0076,0,0,0,0.75903955,0.8485945,0.87983633
"540PS0258","8/31/2011",2,37.16367,-119.3519,"Arid","CH","Cal","Selected",0.0645,0.0076,0,0,0,0.715632659,0.902911025,0.868070843
"545PS0335","7/26/2010",1,36.98793,-120.0208,"Arid","CV","Val","Selected",0.578,0.0985,7.02,1.616,1,0.780948984,0.499338025,0.583507815
"545PS0335","7/26/2010",2,36.98793,-120.0208,"Arid","CV","Val","Selected",0.578,0.0985,7.02,1.616,1,0.647446365,0.595943814,0.631293969
"552FC1226","6/3/2014",1,37.11441,-119.1693,"Wet","SN","Cal","Selected",0.0882,0,2.93,0.318,NA,0.736580086,0.910245298,0.925056059
"553TCCAKR","8/16/2010",1,36.54506,-118.8959,"Arid","CH","Cal","Selected",0.177,0.034,4.01,0.222,14,1.156495857,0.857188131,0.923917801
"553TCCAKR","8/16/2010",2,36.54506,-118.8959,"Arid","CH","Cal","Selected",0.177,0.034,4.01,0.222,14,1.227603802,0.981670061,1.020820413
"554PS0448","7/7/2009",1,35.68506,-118.2559,"Arid","DM","Cal","Selected",0.0735,0.122,9.63,1.241,58,0.75626031,0.624787547,0.566688549
"554PS0946","8/23/2011",1,35.70834,-118.1921,"Arid","DM","Cal","Selected",0,0.036,11.03,0.603,23,1.066880614,0.943701005,0.96720297
"601PRK002","8/2/2012",1,37.84276,-119.1473,"Wet","SN","Cal","Selected",0.0831,0.008,33.6,1.06,0,1.189067836,1.162662509,1.01288481
"601PS0057","9/14/2011",1,37.91691,-119.0743,"Wet","SN","Cal","Selected",0.108,0.0249,3.75,0.197,18,1.036590756,0.900485602,0.902715508
"601PS0065","9/1/2011",1,37.94528,-119.2037,"Wet","SN","Val","Selected",0.173,0.0085,5.25,0.242,0,1.144550656,1.103441366,1.113258692
"603PS0024","8/23/2010",1,37.53899,-118.644,"Wet","SN","Val","Selected",0.065,0.0222,1.91,0.188,1,1.096661651,0.984405981,0.954417007
"603PS0040","8/31/2010",1,37.52807,-118.7099,"Wet","SN","Cal","Selected",0.0862,0.0078,2.08,0.39,1,1.149778045,0.707166811,0.905534915
"603PS0044","8/30/2011",1,37.12547,-118.352,"Wet","SN","Cal","Selected",0.173,0.007,2.44,0,0,0.979218174,1.164309293,1.079234476
"603PS0044","9/14/2011",1,37.12547,-118.352,"Wet","SN","Cal","NotSelected",0.0779,0.0132,1.01,0.176,0,0.995867585,0.564931459,0.766147516
"603PS0072","9/12/2011",1,37.37438,-118.6766,"Wet","SN","Val","Selected",0.172,0.0143,6.06,0,2,1.033667352,1.112337182,1.024816601
"603PS0079","8/1/2012",1,37.70394,-118.7765,"Wet","SN","Cal","Selected",0.306,0.19,19,2.5,31,0.746760339,0.646107372,0.784155503
"603PS0108","7/24/2012",1,37.16372,-118.2903,"Wet","SN","Val","Selected",0.0787,0.0062,11.2,0.4,5,1.11889399,0.972019492,1.002256627
"603PS0108","7/24/2012",2,37.16372,-118.2903,"Wet","SN","Val","Selected",0.0787,0.0062,11.2,0.4,5,1.092454183,0.945307152,0.958951453
"603PS0136","7/17/2013",1,37.42486,-118.5792,"Wet","SN","Cal","Selected",0.142,0.0102,6.38,0.571,1,1.020646875,0.852202137,0.865853742
"603PSx109","7/30/2012",1,37.5927,-118.7825,"Wet","SN","Cal","Selected",0.0931,0.0082,21.8,1.06,12,1.059326748,1.083765106,1.005174315
"603RCC156","7/16/2013",1,37.47829,-118.7211,"Wet","SN","Val","Selected",0.0433,0.0052,7.2,13.4,2,1.274046082,0.93205922,0.921849592
"603RCC156","7/16/2013",2,37.47829,-118.7211,"Wet","SN","Val","Selected",0.0433,0.0052,7.2,13.4,2,1.018054853,0.849689457,0.950796439
"620PS0669","8/17/2010",1,36.31949,-117.5261,"Arid","DM","Cal","Selected",0.242,0.0434,4.43,2.682,6,0.526525445,0.822765395,0.830457137
"626PS1195","5/23/2013",1,34.45461,-118.0172,"Arid","DM","Val","Selected",0.0473,0.0043,19.8,0.6,1,1.113054495,1.258099198,1.194943269
"628PS0527","6/3/2009",1,34.24719,-117.1102,"Arid","DM","Val","Selected",0.156,0.0291,10.98,1.023,0,0.993482988,1.012502796,0.93579308
"628PS1019","6/8/2011",1,34.33614,-117.1614,"Arid","DM","Cal","Selected",0.0764,0.0259,4.58,0.805,5,1.236502617,0.87306345,0.987075181
"628PS1039","6/9/2011",1,34.26422,-117.1256,"Arid","DM","Cal","Selected",0.0443,0.0267,8.08,0.317,20,1.044753352,0.813314843,0.755223741
"628PS1179","6/6/2012",1,34.33902,-117.1669,"Arid","DM","Cal","Selected",0.155,0.019,13.8,0.617,17,1.142792646,0.76545951,0.92517925
"631PS0001","7/28/2009",1,38.3129483,-119.61195,"Wet","SN","Cal","NotSelected",0.0403,0.0581,3.71,0.502,1,0.927379861,1.07442724,0.89155755
"631PS0001","9/29/2010",1,38.3129483,-119.61195,"Wet","SN","Cal","Selected",0.164,0.0148,0,0.263,0,0.913517177,1.071475696,0.925832102
"631PS0051","8/16/2011",1,38.53879,-119.4797,"Wet","SN","Cal","Selected",0,0.0204,4.22,0.404,4,1.098027533,0.864425948,0.899159249
"632PS0046","8/16/2011",1,38.69608,-119.7742,"Wet","SN","Cal","Selected",0,0.013,4.01,0.554,19,1.181827005,0.839806872,0.934810625
"632PS0110","7/8/2013",1,38.75037,-119.6447,"Wet","SN","Val","Selected",0.13,0.0681,21,1.84,3,1.120272588,0.817247841,0.8871885
"632PS0110","8/5/2013",1,38.75037,-119.6447,"Wet","SN","Val","NotSelected",0.0912,0.0785,15.4,0.801,7,1.065430488,0.739597224,0.989900737
"633WIL001","8/5/2009",1,38.78382,-119.9183,"Wet","SN","Val","Selected",0.0428,0.0223,2.91,0.593,7,0.89146451,0.88037089,0.833390197
"635PS0018","7/20/2009",1,39.17836,-120.1925,"Wet","SN","Cal","Selected",0.053,0.0109,10.81,1.382,0,0.355667996,0.711412559,0.740101691
"635PS0034","9/8/2010",1,39.25844,-120.2086,"Wet","SN","Val","Selected",0.104,0.0111,7.22,0.365,15,0.934009883,0.74732154,0.747590119
"636PS0010","7/21/2009",1,39.46174,-120.1891,"Wet","SN","Cal","Selected",0.0519,0.0147,10.39,0.948,4,0.995407072,0.974243837,1.03564989
"719BMCPRE","5/22/2013",1,34.03638,-116.5675,"Arid","DM","Cal","NotSelected",0.383,0.0246,7.86,27.8,27,0.918372914,0.901887639,1.144621883
"719BMCPRE","4/7/2014",1,34.03638,-116.5675,"Arid","DM","Cal","Selected",0.305,0.0112,3.62,40.2,31,0.71974059,0.819612591,0.875145001
"719NP7LBC","4/14/2014",1,33.89152,-116.6948,"Arid","DM","Cal","NotSelected",0.152,0.0495,1.5,2.4,0,0.980339227,0.757357413,0.805654667
"719TPPSQH","4/10/2014",1,33.83105,-116.3117,"Arid","DM","Cal","Selected",0.054,0.0146,9.63,4.77,69,0.883708179,1.066117344,1.091330701
"719TPPSQH","4/10/2014",2,33.83105,-116.3117,"Arid","DM","Cal","Selected",0.054,0.0146,9.63,4.77,69,0.904602386,1.030765256,1.107431631
"722NP7CGC","4/16/2014",1,33.3546,-116.4826,"Arid","DM","Cal","Selected",0.187,0.0188,17.8,1.97,16,0.931499984,1.084494856,1.103983621
"722PS0535","5/26/2009",1,33.36953,-116.4226,"Arid","DM","Cal","NotSelected",0.135,0.126,27.98,5.119,9,0.744894229,0.665311192,0.813793384
"722PS0535","4/16/2014",1,33.36953,-116.4226,"Arid","DM","Cal","NotSelected",0.125,0.124,4.12,1.17,18,0.84052637,0.704620224,0.748353276
"722PS0535","4/16/2014",2,33.36953,-116.4226,"Arid","DM","Cal","NotSelected",0.125,0.124,4.12,1.17,18,0.963325265,0.647780175,0.735517715
"801BNC530","6/19/2014",1,34.1782,-116.9089,"Arid","SC","Cal","Selected",0,0.038,33.582,4.929,4,0.895219072,0.977121078,0.999688303
"801LYC600","6/23/2014",1,34.23094,-117.4829,"Arid","SC","Cal","Selected",0.103,0.021,7.627,0.969,NA,1.041921022,0.874118933,0.945968518
"801MIC370","6/9/2014",1,34.10084,-117.0229,"Arid","SC","Cal","Selected",0.182,0.048,0.959,0.012,7,0.809601772,0.931321632,0.817903694
"801S02167","6/7/2010",1,34.1045,-117.1595,"Arid","SC","Cal","Selected",1.1,0.17,157.079,1.02503,2,0.955873263,0.761094222,0.841948909
"801S02573","6/9/2010",1,34.01345,-117.1776,"Arid","SC","Cal","Selected",3.2,2,1.37335,0.146263,7,0.658537347,0.583328581,0.61633546
"801S03533","6/1/2010",1,34.02313,-117.1913,"Arid","SC","Cal","Selected",3.2,2.1,0.741625,0.0255123,10,0.596969435,0.567589601,0.660577928
"801S09591","6/3/2010",1,34.10396,-117.1667,"Arid","SC","Val","Selected",1,0.14,126.065,4.17704,7,0.772684094,0.691242224,0.701404961
"801SAR124","6/17/2014",1,34.12661,-117.0773,"Arid","SC","Cal","Selected",0,0.055,20.215,15.727,NA,1.043451368,0.724844709,0.717259075
"801SNP001","5/13/2014",1,34.24428,-117.5073,"Arid","SC","Cal","Selected",0.2,0,3.217,0.361,NA,1.027080534,0.898972404,0.885149218
"801SNP001","6/18/2014",1,34.24428,-117.5073,"Arid","SC","Cal","NotSelected",0.228,0.061,8.148,0.86,NA,1.140164117,1.005284025,0.984256942
"801SNP002","5/13/2014",1,34.25602,-117.6415,"Arid","SC","Cal","NotSelected",0.034,0,1.684,0.221,NA,0.996302328,1.191340026,1.032824425
"801SNP002","6/18/2014",1,34.25602,-117.6415,"Arid","SC","Cal","Selected",0.059,0.03,16.73,1.533,NA,0.891277734,1.19665976,1.037904153
"801STW055","6/11/2014",1,34.0391,-117.2208,"Arid","SC","Cal","Selected",0.639,1.191,20.343,5.056,NA,0.795242574,0.740398725,0.809604985
"901NP9LCC","3/26/2014",1,33.6273,-117.4289,"Arid","SC","Val","Selected",0.295,0.0387,3.94,1.14,20,0.946559368,0.920849746,0.933272813
"901S04309","5/16/2011",1,33.47486,-117.466,"Arid","SC","Cal","Selected",0.192,0.0153,8.15,0.731,26,0.915041628,1.00739489,1.009193523
"901S04409","5/19/2011",1,33.60348,-117.4531,"Arid","SC","Val","Selected",0.158,0.0282,28.42,0.601,14,0.940211915,0.808495179,1.065534008
"901S04565","5/26/2011",1,33.53161,-117.4142,"Arid","SC","Cal","Selected",0.122,0.0165,9.15,0.603,12,1.146581214,0.901753444,1.056399767
"901S45253","5/18/2010",1,33.51442,-117.6261,"Arid","SC","Val","Selected",0.641,0.0486,28.97,14.431,92,0.599177144,0.664317749,0.687059286
"902S00117","5/25/2010",1,33.34177,-117.3319,"Arid","SC","Cal","Selected",0.933,0.0586,13.19,1.404,21,0.70626897,0.532958544,0.537142909
"902S02293","5/27/2010",1,33.42339,-117.2047,"Arid","SC","Cal","Selected",0.445,0.0154,154.29,4.784,72,0.894091375,0.554628216,0.54889031
